area_code,year,public_sector_wage_levels
ITA,2001,14.591986647488
ITA,2002,14.9123684537947
ITA,2003,15.4782985410488
ITA,2004,15.3487463430607
ITA,2005,15.4669040315738
ITA,2006,15.0229741898343
ITA,2007,15.1212487528307
ITA,2008,14.4832543205361
ITA,2009,14.1533423242197
ITA,2010,14.2985452054364
ITA,2011,14.0672295745322
ITA,2012,13.5397731882758
ITA,2013,13.5382987675751
ITA,2014,13.4214073014215
ITA,2015,13.1413466396727
ITA,2016,13.325327172132
ITA,2017,13.3736283088174
ITA,2018,13.5347771979566
ITA,2019,13.5165897230347
ITA,2020,12.2737105977694
ITA,2021,11.7535497147778
ITA,2022,11.2351383649197
ITA,2023,10.8915552526611
