area_code,year,income_tax_rate,education_spending_allocation,healthcare_spending_allocation
IT,2026,31.22553177316935,9.256449937820438,9387.725925925926
IT108,2026,31.22553177316935,9.256449937820438,9387.725925925926
IT109,2026,31.22553177316935,9.256449937820438,9387.725925925926
IT110,2026,31.22553177316935,9.256449937820438,9387.725925925926
IT111,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITA,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC1,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC11,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC12,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC13,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC14,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC15,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC16,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC17,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC18,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC2,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC20,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC3,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC31,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC32,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC33,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC34,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC4,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC41,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC42,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC43,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC44,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC45,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC46,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC47,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC48,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC49,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC4A,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITC4B,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITCD,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITCDE,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD1,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD10,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD2,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD20,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD3,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD31,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD32,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD33,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD34,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD35,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD36,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD37,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD4,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD41,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD42,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD43,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD44,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD5,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD51,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD52,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD53,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD54,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD55,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD56,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD57,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD58,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITD59,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITDA,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE1,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE11,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE12,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE13,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE14,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE15,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE16,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE17,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE18,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE19,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE1A,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE2,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE21,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE22,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE3,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE31,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE32,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE33,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE34,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE4,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE41,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE42,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE43,2026,31.22553177316935,9.256449937820438,9387.725925925926
ITE44,2026,31.22553177316935,9.256449937820438,9387.725925925926
