area_code,year,income_tax_rate,education_spending_allocation,healthcare_spending_allocation
IT,2026,34.6950353035215,7.40515995025635,8534.296296296296
IT108,2026,34.6950353035215,7.40515995025635,8534.296296296296
IT109,2026,34.6950353035215,7.40515995025635,8534.296296296296
IT110,2026,34.6950353035215,7.40515995025635,8534.296296296296
IT111,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITA,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC1,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC11,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC12,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC13,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC14,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC15,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC16,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC17,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC18,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC2,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC20,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC3,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC31,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC32,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC33,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC34,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC4,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC41,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC42,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC43,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC44,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC45,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC46,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC47,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC48,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC49,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC4A,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITC4B,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITCD,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITCDE,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD1,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD10,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD2,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD20,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD3,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD31,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD32,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD33,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD34,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD35,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD36,2026,34.6950353035215,7.40515995025635,8534.296296296296
ITD37,2026,34.6950353035215,7.40515995025635,8534.296296296296
