area_code,year,owned_dwellings,all_occupied_dwellings,homeownership_rate
001001,2019,850.363949163058,1201.0,70.8046585481314
001002,2019,1184.26826244855,1510.0,78.4283617515596
001003,2019,202.231846833467,234.0,86.4238661681483
001004,2019,521.504106152287,747.0,69.81313335371982
001006,2019,1941.98215473069,2881.0,67.40653088270358
001007,2019,113.780039808727,143.0,79.56646140470419
001008,2019,5670.9160139745,7436.0,76.2629910432289
001009,2019,643.10860119449,861.0,74.69321732804762
001010,2019,228.890646596586,256.0,89.41040882679141
001011,2019,349.679391661122,398.0,87.85914363344773
001012,2019,322.153995722362,449.0,71.74921953727439
001013,2019,4095.30022841166,5446.0,75.19831488086045
001014,2019,474.207093343538,552.0,85.90708212745254
001015,2019,281.605781456258,342.0,82.34087177083568
001016,2019,1095.93027702708,1388.0,78.95751275411239
001017,2019,201.933860426605,232.0,87.0404570804332
001018,2019,1194.73872694099,1551.0,77.03022095041845
001019,2019,47.2774601800028,69.0,68.51805823188812
001020,2019,1084.6833311509,1594.0,68.04788777609159
001021,2019,613.735203309321,732.0,83.84360700947009
001022,2019,1236.18741911752,1718.0,71.95503021638649
001023,2019,237.834549598492,267.0,89.07661033651387
001024,2019,5764.036889104,8017.0,71.89767854688786
001025,2019,1123.2424659139,1494.00000000001,75.18356532221503
001026,2019,224.10123094728,282.0,79.46852161251063
001027,2019,804.157674315563,955.0,84.20499207492807
001028,2019,4269.40289258999,4988.0,85.59348220910165
001029,2019,236.510192372092,278.0,85.07560876693957
001030,2019,1258.51403298705,1653.0,76.13515021095282
001031,2019,299.398839525937,361.0,82.93596662768337
001032,2019,919.957576588949,1014.0,90.72559926912712
001033,2019,975.99958937453,1251.0,78.01755310747642
001034,2019,2922.32080976068,3715.0,78.66274050499811
001035,2019,1667.23113088202,2050.0,81.32834784790342
001036,2019,203.261472487577,216.0,94.10253355906343
001037,2019,182.936985778588,212.0,86.29103102763584
001038,2019,2833.81530978313,3549.0,79.84827584624205
001039,2019,562.564361202375,663.0,84.85133653127829
001040,2019,543.478076404147,681.0,79.80588493452967
001041,2019,414.250506998236,516.0,80.28110600741007
001042,2019,474.639430686325,525.0,90.40751060691905
001043,2019,564.527958078286,660.0,85.53453910277061
001044,2019,2117.45263334699,2795.0,75.75859153298711
001045,2019,1931.96956684298,2773.0,69.67073807583772
001046,2019,1057.02903314156,1504.0,70.28118571419947
001047,2019,2444.77723175889,3401.0,71.88407032516584
001048,2019,1976.38818048985,2448.0,80.73481129452001
001049,2019,427.119580760733,578.0,73.89612123888114
001050,2019,442.380901695571,531.0,83.31090427411884
001051,2019,1828.02281308316,2322.0,78.72621934036003
001052,2019,124.949064745707,139.0,89.89141348612016
001053,2019,889.906953243875,1102.0,80.75380700942605
001054,2019,214.709762714934,326.0,65.86189040335398
001055,2019,875.851349232812,936.0,93.57386209752265
001056,2019,362.95296106763,424.0,85.6021134593467
001057,2019,312.341412445277,376.0,83.06952458650983
001058,2019,2992.69868253472,3933.0,76.09200820073023
001059,2019,8285.60486685942,11953.0,69.31820352095222
001060,2019,685.22427099893,842.000000000001,81.38055475046664
001061,2019,497.104427597412,688.0,72.25355052287965
001062,2019,940.918531016543,1259.0,74.73538768995577
001063,2019,4391.63165330457,5986.0,73.36504599573288
001064,2019,627.566527484219,760.0,82.57454309002881
001065,2019,667.475198088559,878.000000000001,76.02223212853738
001066,2019,3058.03352291822,4313.0,70.90270166747554
001067,2019,197.688606640301,239.0,82.71489817585817
001068,2019,2262.87231527497,2677.0,84.53015746264363
001069,2019,789.788628513429,1017.0,77.65866553721033
001070,2019,1724.60189636304,2383.0,72.37104055237263
001071,2019,576.937833660282,739.0,78.07007221384059
001072,2019,422.617444118581,566.0,74.6673929538129
001073,2019,81.8469809991002,99.0000000000001,82.6737181809092
001074,2019,375.67081640722,504.0,74.53786039825793
001075,2019,151.413852560492,198.0,76.47164270731919
001076,2019,587.427885175537,728.0,80.69064356806827
001077,2019,640.514529617869,897.0,71.40630207557068
001078,2019,11060.5850752425,16187.0,68.33004926942917
001079,2019,69.3333333333333,104.0,66.66666666666663
001080,2019,360.936977223144,472.0,76.46969856422542
001081,2019,546.394036513729,721.0,75.78280672867254
001082,2019,8470.39676626159,11967.0,70.78128826156589
001083,2019,125.575539541247,144.0,87.20523579253263
001084,2019,90.2439052451193,113.0,79.86186304877813
001085,2019,141.264108967222,162.0,87.20006726371729
001086,2019,5691.90841240808,8248.0,69.00955883132977
001087,2019,67.1428246875122,93.0,72.196585685497
001088,2019,570.32874420471,696.0,81.94378508688362
001089,2019,1197.12962701402,1543.0,77.5845513294893
001090,2019,18026.6896618523,22462.0,80.25416108027913
001091,2019,137.337913310736,149.0,92.17309618170202
001092,2019,232.345324888876,269.000000000001,86.3737267244889
001093,2019,1661.16812405032,2146.0,77.40764790542032
001094,2019,1160.85448635598,1492.0,77.80526047962333
001095,2019,193.698826227289,207.0,93.57431218709614
001096,2019,349.737626290556,443.0,78.94754543804876
001097,2019,2657.26372489004,3498.0,75.96522941366611
001098,2019,3272.26530630383,4425.0,73.94949844754419
001099,2019,2968.82247701056,3779.00000000001,78.56106051893495
001100,2019,106.50026048338,143.0,74.47570663173427
001101,2019,1719.63851189389,2094.0,82.12218299397756
001102,2019,732.228295661725,952.0,76.91473693925684
001103,2019,238.096049148321,299.0,79.63078566833478
001104,2019,928.4318530486,1142.0,81.298761212662
001105,2019,287.622251796855,365.0,78.80061693064519
001106,2019,725.38230420446,1003.0,72.32126662058424
001107,2019,1195.60999273369,1463.0,81.72317106860491
001108,2019,121.27641144125,141.0,86.01163932003546
001109,2019,567.737975616899,692.0,82.04306006024552
001110,2019,983.695405868731,1224.0,80.36727172130155
001111,2019,221.149262546099,243.0,91.0079269737033
001112,2019,3220.90059366024,4190.0,76.87113588687923
001113,2019,449.791304160331,542.0,82.98732549083597
001114,2019,252.232599653316,290.0,86.97675850114345
001115,2019,5384.70611588365,7221.0,74.5700888503483
001116,2019,1428.83158262044,1607.0,88.91297962790541
001117,2019,271.608755095755,340.000000000001,79.88492796933946
001118,2019,105.044143271143,118.0,89.02046039927373
001119,2019,365.718867177822,412.0,88.76671533442281
001120,2019,12794.7476747042,16630.0,76.93774909623691
001121,2019,21.0,27.0,77.77777777777779
001122,2019,283.361829588936,334.0,84.83887113441199
001123,2019,131.159277635445,155.0,84.61888879706129
001124,2019,194.06603487196,202.0,96.07229449106931
001125,2019,7393.42263547839,11098.0,66.61941462856721
001126,2019,621.251254881225,747.0,83.1661653120783
001127,2019,3174.32965114704,3719.0,85.35438696281365
001128,2019,1651.03729672764,2319.0,71.19608869028202
001129,2019,571.242544741518,672.0,85.00633106272589
001130,2019,4824.80644285647,6833.0,70.6103679621904
001131,2019,88.2151040646793,101.0,87.34168719275178
001132,2019,662.433236463303,835.0,79.3333217321321
001133,2019,181.838134135033,214.0,84.97109071730513
001134,2019,599.873065473063,745.0,80.51987456014268
001135,2019,615.168659401451,713.0,86.27891436205483
001136,2019,290.14035339465,462.000000000001,62.80094229321415
001137,2019,393.67538176106,499.0,78.89286207636474
001139,2019,2331.09542121481,3437.0,67.82355022446347
001140,2019,184.341345673063,236.0,78.11073969197584
001141,2019,176.451818314829,230.0,76.71818187601261
001142,2019,403.009124528302,495.0,81.41598475319232
001143,2019,128.489954151236,187.0,68.71120542846845
001144,2019,479.585932504854,536.0,89.47498740762201
001145,2019,33.7768819152144,40.0,84.44220478803601
001146,2019,1238.84288453277,1685.0,73.52183290995669
001147,2019,295.588757146657,344.0,85.92696428681889
001148,2019,1427.1966590428,1766.0,80.8152128563307
001149,2019,373.895420283927,426.0,87.76887800092183
001150,2019,406.073051340471,588.0,69.06004274497806
001152,2019,344.915238086146,417.0,82.71348635159377
001153,2019,142.190914699027,160.0,88.86932168689187
001154,2019,228.674360614242,305.0,74.97520020139082
001155,2019,150.941994746108,186.0,81.1516100785527
001156,2019,18798.4674113334,26042.0,72.18519088907688
001157,2019,20.0869565217391,22.0,91.30434782608681
001158,2019,251.92894255285,300.0,83.97631418428332
001159,2019,394.839681133502,419.0,94.23381411300763
001160,2019,1215.20759010918,1571.0,77.35248823101082
001161,2019,1902.68356255514,2237.0,85.05514360997498
001162,2019,305.054315001456,360.0,84.73730972262668
001163,2019,284.431135441661,349.0,81.4988926766937
001164,2019,15760.2536223353,20143.0,78.2418389630904
001165,2019,78.5864985222508,81.0,97.02036854598866
001166,2019,2212.19741913103,2920.00000000001,75.76018558667886
001167,2019,122.701864645013,144.0,85.20962822570347
001168,2019,2440.86633415465,3353.0,72.79649072933641
001169,2019,211.228240067077,242.0,87.28439672193264
001170,2019,569.034108921883,614.0,92.67656497099071
001171,2019,7255.40588352286,10252.0,70.77063873900565
001172,2019,288.243051196839,354.0,81.42459073357034
001173,2019,405.2702880107,495.0,81.87278545670708
001174,2019,338.522515231708,380.000000000001,89.0848724293966
001175,2019,1210.01856429022,1724.0,70.18669166416589
001176,2019,466.08571819489,550.0,84.74285785361636
001177,2019,318.798883646757,377.0,84.56203810258806
001178,2019,594.555408964654,828.0,71.80620881215629
001179,2019,147.959703195294,192.0,77.06234541421563
001180,2019,356.256363888156,477.0,74.68686873965534
001181,2019,1339.41236346362,1696.0,78.97478558158137
001183,2019,1226.10854141733,1661.0,73.81749195769596
001184,2019,1215.22256209904,1592.0,76.33307550873367
001185,2019,170.302941419936,240.0,70.95955892497334
001186,2019,246.768751519697,336.0,73.44308080943362
001187,2019,294.409947492955,324.0,90.8672677447392
001188,2019,232.026424260745,319.0,72.7355561945909
001189,2019,4909.00670920254,6387.0,76.8593503867628
001190,2019,1149.58153354555,1362.0,84.40393050995227
001191,2019,11213.3540867446,16917.0,66.28453086684756
001192,2019,2861.08582415496,3707.0,77.18062649460371
001193,2019,1298.59765779938,1579.0,82.24177693472957
001194,2019,6074.3585983543,7701.00000000001,78.87753016951424
001195,2019,1103.76960066853,1445.0,76.38543949263183
001196,2019,471.366241305305,581.0,81.13016201468244
001197,2019,2827.96866831133,4212.0,67.14075660758144
001198,2019,313.901027793605,484.0,64.85558425487706
001199,2019,1104.54328432545,1535.0,71.95721721989902
001200,2019,390.042056075944,485.000000000001,80.4210424898852
001201,2019,319.627475627744,404.0,79.11571178904553
001202,2019,109.235922017776,134.0,81.51934478938507
001203,2019,579.5277234498,773.0,74.97124494822768
001204,2019,113.233201692846,121.0,93.58115842383967
001205,2019,517.833672652873,550.0,94.15157684597692
001206,2019,267.393361441068,333.000000000001,80.29830673905921
001207,2019,192.172946007781,230.0,83.55345478599175
001208,2019,115.175723221572,158.0,72.89602735542532
001209,2019,138.190998883133,171.0,80.81344963925908
001210,2019,374.046302035971,465.0,80.44006495397225
001211,2019,691.715931201618,785.0,88.11667913396407
001212,2019,35.1985658398651,41.0,85.85016058503682
001213,2019,386.702054452105,458.0,84.43276298080895
001214,2019,6621.64728207092,8478.0,78.10388395931729
001215,2019,1497.590276755,1901.0,78.77907820910049
001216,2019,983.11683335991,1098.0,89.53705221857103
001217,2019,3849.07261260656,5542.0,69.45277179008589
001218,2019,553.277926608869,662.0,83.57672607384728
001219,2019,16567.7034844571,21568.0,76.81613262452291
001220,2019,989.8223455891,1316.0,75.21446395053951
001221,2019,573.54382694317,775.0,74.00565508944128
001222,2019,667.286862260209,860.0,77.5914956116522
001223,2019,909.031977234615,1202.0,75.62662040221423
001224,2019,140.560580490238,177.0,79.41275733911752
001225,2019,624.727322326658,796.0,78.48333195058518
001226,2019,99.8559757669505,119.0,83.91258467810965
001227,2019,346.477091032558,419.0,82.69142984070596
001228,2019,1507.1392276353,2076.00000000001,72.59822869148809
001229,2019,930.230514408135,1173.0,79.3035391652289
001230,2019,321.35403446821,388.0,82.82320475984794
001231,2019,696.171228816148,797.0,87.34896221030715
001232,2019,218.057217795827,278.0,78.43784812799532
001233,2019,159.227751375241,210.0,75.82273875011477
001234,2019,28.1105319044566,43.0,65.37333001036419
001235,2019,552.182362066453,713.0,77.44493156612245
001236,2019,1949.3998703823,2494.0,78.16358742511227
001237,2019,1244.00913456221,1600.0,77.75057091013812
001238,2019,129.845714457458,156.0,83.23443234452435
001239,2019,199.714940523654,228.0,87.59427215949738
001240,2019,1603.74449837171,1966.0,81.57398262317955
001241,2019,1309.3557841929,1495.0,87.58232670186622
001242,2019,655.077191318348,824.0,79.49965914057621
001243,2019,999.849062119609,1253.0,79.79641357698397
001244,2019,957.082189558148,1142.0,83.80754724677303
001245,2019,372.534545814572,460.0,80.98577082925479
001246,2019,1073.30144339168,1357.0,79.09369516519381
001247,2019,327.391252756485,381.0,85.9294626657441
001248,2019,3311.41997037408,4333.0,76.42326264422064
001249,2019,6180.9480234242,8204.0,75.34066337669674
001250,2019,472.908487767151,636.0,74.35668046653318
001251,2019,105.35593220339,112.0,94.06779661016964
001252,2019,1090.23691699488,1357.0,80.34170353683714
001253,2019,690.361703485879,824.0,83.78176013178144
001254,2019,1262.22445381053,1618.0,78.01140011189925
001255,2019,1524.05738791662,2024.0,75.29927805912155
001256,2019,1289.65931257496,1850.0,69.71131419324108
001257,2019,3005.19043242242,4393.0,68.40861444166674
001258,2019,132.389991141925,150.0,88.25999409461667
001259,2019,485.414867156827,628.0,77.2953610122336
001260,2019,1058.48820856064,1428.0,74.12382412889636
001261,2019,268.253271498674,356.0,75.3520425558073
001262,2019,538.193169140457,648.0,83.05450141056436
001263,2019,377.303309511783,522.0,72.28032749267874
001264,2019,171.948147936293,221.0,77.80459182637692
001265,2019,14970.146331939,20211.0,74.06930053900847
001266,2019,557.674765646018,723.0,77.13343923181439
001267,2019,350.672068481524,467.0,75.09037868983383
001268,2019,103.049877973817,123.0,83.78038859659918
001269,2019,2240.64133791308,2806.0,79.85179393845615
001270,2019,1860.91140645123,2676.0,69.54078499444059
001271,2019,266.538089594926,351.000000000001,75.93677766237187
001272,2019,290505.453466271,420207.0,69.13389197854175
001273,2019,1012.55434327816,1261.0,80.29772746059952
001274,2019,168.213769714634,262.0,64.20372889871527
001275,2019,1522.50831764008,2310.0,65.90945098009003
001276,2019,1200.48598305426,1621.0,74.05835799224306
001278,2019,140.031161179604,179.0,78.22969898301899
001279,2019,221.190506974062,289.0,76.53650760348167
001280,2019,3542.86825491298,4664.0,75.96201232660763
001281,2019,91.4386044850067,109.0,83.88862796789606
001282,2019,105.577727253199,120.0,87.98143937766584
001283,2019,532.033157179912,610.0,87.21855035736262
001284,2019,1478.51846362212,1806.0,81.86702456379402
001285,2019,336.478691619408,436.0,77.17401183931376
001286,2019,281.829922059689,361.0,78.06923048744848
001287,2019,1090.61804734106,1337.0,81.57203046679581
001288,2019,57.0607331401058,67.0,85.1652733434415
001289,2019,286.189199946634,360.0,79.4969999851761
001290,2019,458.854843773225,616.0,74.48942269045861
001291,2019,382.319979598912,409.0,93.47676762809584
001292,2019,10679.6530501449,14565.0,73.3240854798826
001293,2019,1760.19804049024,2118.0,83.10661192116335
001294,2019,528.47455756545,604.0,87.495787676399
001295,2019,309.4169883433,369.0,83.85284236945799
001296,2019,105.774572425038,119.0,88.88619531515799
001298,2019,195.556557586819,248.0,78.85345063984637
001299,2019,1612.4302949515,2233.0,72.20914890064934
001300,2019,1359.63430537601,2003.0,67.87989542566201
001301,2019,407.618310461648,510.0,79.92515891404862
001302,2019,1207.76237830672,1517.0,79.61518644078576
001303,2019,1087.92450529479,1246.0,87.31336318577767
001304,2019,368.97441224177,455.0,81.09327741577363
001305,2019,778.611114139537,934.0,83.36307431900825
001306,2019,436.025307622434,524.0,83.21093656916679
001307,2019,1445.1211263342,1862.0,77.61123127466165
001308,2019,1361.82323919641,1970.0,69.1280832079396
001309,2019,5113.22283513834,6386.0,80.06925830157125
001310,2019,350.951446150447,479.0,73.2675252923689
001311,2019,409.562632558802,542.0,75.56506135771255
001312,2019,197.876007288093,255.0,77.59843423062472
001313,2019,418.675706363758,527.0,79.44510557187058
001314,2019,4727.78668236823,6356.0,74.38305038338939
001315,2019,2562.24845011018,3397.0,75.42680159288136
001316,2019,2345.426,2964.0,79.1304318488529
001317,2019,498.220864554212,627.0,79.46106292730654
001318,2019,418.706573196235,545.0,76.82689416444678
002002,2019,290.51120228274,396.0,73.36141471786364
002003,2019,103.965614011904,144.0,72.19834306382222
002004,2019,812.929174638894,1065.0,76.33137790036562
002006,2019,298.844356070142,414.0,72.18462707008261
002007,2019,500.953356581564,601.0,83.35330392372113
002008,2019,52.5295288667262,63.0,83.38020455035905
002009,2019,74.7407333401494,96.0,77.85493056265564
002011,2019,597.984537237283,827.0,72.30768285819626
002014,2019,78.7536360156248,94.0,83.78046384640938
002015,2019,775.00886107327,985.0,78.6811026470325
002016,2019,4205.42197514466,5861.0,71.75263564485003
002017,2019,702.036996620803,925.0,75.8958915265733
002021,2019,318.991924531846,387.0,82.42685388419794
002025,2019,99.8219608809938,126.0,79.2237784769792
002029,2019,41.0232558139535,42.0,97.67441860465118
002030,2019,386.963473193235,436.0,88.75309018193464
002031,2019,387.138924810269,427.0,90.66485358554309
002032,2019,230.968620964609,343.0,67.33779036869066
002033,2019,82.8657332377754,94.0,88.15503535933553
002035,2019,123.084782948987,132.0,93.2460476886265
002041,2019,31.3645638573526,42.0,74.67753299369667
002042,2019,1528.97843393726,1983.0,77.10430831756227
002043,2019,112.450533719567,129.0,87.17095637175737
002045,2019,33.1427560983669,39.0,84.98142589324846
002047,2019,319.348354078574,357.0,89.4533204701888
002048,2019,123.897857020386,145.0,85.44679794509379
002049,2019,2378.01826853166,3417.0,69.5937450550676
002052,2019,124.634982064166,165.0,75.5363527661612
002054,2019,377.346978413003,447.0,84.41766854877024
002057,2019,95.017372467376,114.0,83.34857233980351
002058,2019,426.705836333149,484.0,88.1623628787498
002059,2019,150.405422765366,230.0,65.39366207189826
002061,2019,2570.26964617792,3488.00000000001,73.68892334225667
002062,2019,228.184956926506,376.0,60.68748854428351
002065,2019,114.315535497282,137.0,83.44199671334452
002066,2019,122.385111098193,162.0,75.54636487542777
002067,2019,177.277303084811,212.0,83.62136937962784
002068,2019,322.800246651975,377.0,85.62340759999336
002070,2019,155.520197958252,238.0,65.34462099086218
002071,2019,1378.26170319422,1865.0,73.90143180666058
002072,2019,281.261813306974,349.0,80.59077745185502
002078,2019,41.0666222019946,57.0,72.04670561753439
002079,2019,455.131408153998,569.0,79.98794519402426
002082,2019,279.94645431318,334.0,83.81630368658085
002088,2019,250.97795887774,341.0,73.60057445095015
002089,2019,88.9576248479578,99.0,89.85618671510889
002090,2019,454.924062704992,527.0,86.3233515569245
002091,2019,105.999784766187,136.0,77.94101821043162
002093,2019,491.711799001017,549.0,89.56499071056776
002096,2019,62.2434814620925,72.0,86.4492798084618
