area_code,year,pension_retirement_spending
ITE4,2015,10.625
ITE4,2016,10.590416666666666
ITE4,2017,8.444374999999999
ITE4,2018,8.963541666666666
ITE4,2019,8.924375
ITE4,2020,8.613125
ITE4,2021,8.659583333333332
ITE4,2022,8.138958333333333
ITF,2012,11.618125
ITF,2013,11.509166666666667
ITF,2014,11.184375000000001
ITF,2015,11.258541666666666
ITF,2016,11.235416666666666
ITF,2017,11.229166666666666
ITF,2018,10.706041666666666
ITF,2019,10.671458333333334
ITF,2020,10.38875
ITF,2021,10.398541666666667
ITF,2022,9.875625000000001
ITF1,2012,11.076041666666667
ITF1,2013,10.982708333333333
ITF1,2014,10.71375
ITF1,2015,10.84625
ITF1,2016,10.855625000000002
ITF1,2017,10.865416666666667
ITF1,2018,10.388541666666667
ITF1,2019,10.387500000000001
ITF1,2020,10.117083333333333
ITF1,2021,10.098333333333334
ITF1,2022,9.675625
ITF2,2012,11.895208333333334
ITF2,2013,11.884583333333333
ITF2,2014,11.734583333333333
ITF2,2015,11.726041666666667
ITF2,2016,11.667499999999999
ITF2,2017,11.543125000000002
ITF2,2018,11.126666666666667
ITF2,2019,11.028958333333334
ITF2,2020,10.801875
ITF2,2021,10.778125000000001
ITF2,2022,10.180416666666668
ITF3,2012,11.767291666666667
ITF3,2013,11.630833333333333
ITF3,2014,11.263333333333334
ITF3,2015,11.354166666666666
ITF3,2016,11.334583333333335
ITF3,2017,11.35875
ITF3,2018,10.790625
ITF3,2019,10.722291666666665
ITF3,2020,10.420833333333333
ITF3,2021,10.400833333333333
ITF3,2022,9.748541666666666
ITF4,2012,11.573749999999999
ITF4,2013,11.482291666666667
ITF4,2014,11.101041666666667
ITF4,2015,11.133125
ITF4,2016,11.065416666666666
ITF4,2017,10.998541666666666
ITF4,2018,10.500416666666666
ITF4,2019,10.465416666666668
ITF4,2020,10.181458333333333
ITF4,2021,10.211875000000001
ITF4,2022,9.865416666666667
ITF5,2012,11.752291666666666
ITF5,2013,11.742916666666666
ITF5,2014,11.565416666666666
ITF5,2015,11.655625
ITF5,2016,11.705625
ITF5,2017,11.692083333333334
ITF5,2018,11.243541666666667
ITF5,2019,11.263958333333333
ITF5,2020,11.015
ITF5,2021,10.970416666666667
ITF5,2022,10.538958333333333
ITF6,2012,11.780416666666667
ITF6,2013,11.670625
ITF6,2014,11.436666666666667
ITF6,2015,11.521458333333333
ITF6,2016,11.548958333333333
ITF6,2017,11.578958333333333
ITF6,2018,11.125833333333333
ITF6,2019,11.166458333333333
ITF6,2020,10.893749999999999
ITF6,2021,10.955625
ITF6,2022,10.428333333333333
ITG,2012,11.669375
ITG,2013,11.581874999999998
ITG,2014,11.134375
ITG,2015,11.200208333333334
ITG,2016,11.134166666666665
ITG,2017,11.06875
ITG,2018,10.450000000000001
ITG,2019,10.414375
ITG,2020,10.055208333333333
ITG,2021,10.024791666666667
ITG,2022,9.582708333333334
ITG1,2012,11.811041666666666
ITG1,2013,11.707916666666668
ITG1,2014,11.220208333333334
ITG1,2015,11.261458333333332
ITG1,2016,11.177708333333333
ITG1,2017,11.11125
ITG1,2018,10.456249999999999
ITG1,2019,10.439791666666666
ITG1,2020,10.08875
ITG1,2021,10.061458333333333
ITG1,2022,9.620208333333334
ITG2,2012,11.269791666666668
ITG2,2013,11.232916666666666
ITG2,2014,10.89625
ITG2,2015,11.028541666666667
ITG2,2016,11.02125
ITG2,2017,10.954374999999999
ITG2,2018,10.445
ITG2,2019,10.364583333333334
ITG2,2020,9.994583333333333
ITG2,2021,9.972916666666666
ITG2,2022,9.544375
ITNI,2012,37.208333333333336
ITNI,2013,44.21388888888889
ITNI,2014,38.12
ITNI,2015,40.90166666666667
ITNI,2016,33.12529411764706
ITNI,2017,35.35055555555555
ITNI,2018,24.556666666666665
ITNI,2019,23.982380952380954
ITNI,2020,23.465555555555554
ITNI,2021,25.825555555555557
ITNI,2022,41.69888888888889
ITS,2012,72.09666666666666
ITS,2013,71.88166666666666
ITS,2014,71.41222222222223
ITS,2015,70.87111111111112
ITS,2016,70.35722222222222
ITS,2017,69.83166666666666
ITS,2018,68.94666666666666
ITS,2019,66.21619047619048
ITS,2020,67.63055555555555
ITS,2021,66.74611111111112
ITS,2022,67.16782608695652
ITTOT,2012,15.1975
ITTOT,2013,15.20125
ITTOT,2014,14.559583333333334
ITTOT,2015,14.685
ITTOT,2016,14.625833333333333
ITTOT,2017,14.525416666666667
ITTOT,2018,13.478333333333333
ITTOT,2019,13.279583333333333
ITTOT,2020,12.732083333333334
ITTOT,2021,12.688333333333333
ITTOT,2022,11.746250000000002
