area_code,year,public_transport_access_value
020030,2003,55.412667545
020030,2004,104.75068545
020030,2005,110.67721929
020030,2006,117.99206125
020030,2007,116.90882997
020030,2008,115.61777389
020030,2009,89.469492455
020030,2010,90.533960551
020030,2011,81.327341008
020030,2012,78.480806766
021008,2001,114.69907106
021008,2002,110.4412499
021008,2003,107.82414346
021008,2004,111.14501922
021008,2005,110.73392107
021008,2006,107.0017338
021008,2007,104.56133347
021008,2008,128.36463456
021008,2009,141.03601978
021008,2010,146.98499739
021008,2011,152.1807823
021008,2012,146.24301828
022205,2001,163.98866232
022205,2002,159.52581595
022205,2003,165.23022625
022205,2004,164.98795258
022205,2005,167.74117711
022205,2006,167.92810264
022205,2007,181.54264447
022205,2008,191.6667034
022205,2009,192.75115671
022205,2010,192.79665587
022205,2011,193.8524959
022205,2012,189.17943864
023091,2001,110.81872719
023091,2002,108.36767267
023091,2003,111.62428898
023091,2004,116.39980432
023091,2005,122.28805975
023091,2006,124.97644675
023091,2007,130.68931948
023091,2008,138.46615769
023091,2009,143.48023849
023091,2010,146.30260068
023091,2011,155.83053254
023091,2012,148.65000028
024116,2001,71.891795138
024116,2002,67.007298599
024116,2003,69.44300173
024116,2004,71.314230831
024116,2005,71.58070395
024116,2006,71.579868709
024116,2007,70.243808456
024116,2008,68.217527933
024116,2009,67.35715339
024116,2010,56.714057984
024116,2011,52.076586263
024116,2012,50.777188772
025006,2001,87.679279177
025006,2002,76.649803899
025006,2003,82.137905667
025006,2004,82.507925326
025006,2005,87.577144297
025006,2006,89.641156983
025006,2007,92.170739799
025006,2008,94.057911349
025006,2009,91.429977984
025006,2010,90.033735335
025006,2011,72.488724887
025006,2012,66.960015305
026086,2001,68.600447581
026086,2002,70.706694015
026086,2003,70.010603931
026086,2004,70.183587161
026086,2005,71.277908468
026086,2006,104.01920055
026086,2007,110.46173618
026086,2008,110.16307797
026086,2009,112.87359957
026086,2010,106.05096506
026086,2011,102.47067241
026086,2012,96.471230795
027042,2001,595.60962127
027042,2002,576.47230768
027042,2003,603.44142683
027042,2004,617.04063627
027042,2005,655.04564433
027042,2006,670.48563802
027042,2007,670.72297914
027042,2008,621.41642135
027042,2009,628.58315508
027042,2010,647.82299676
027042,2011,673.30411673
027042,2012,655.70762716
028060,2001,135.94413295
