area_code,year,healthcare_capacity
ITC,2014,6.99
ITC,2014,30.84
ITC,2014,24.79
ITC,2014,8.59
ITC,2014,5287.0
ITC,2014,982698.0
ITC,2015,2.71
ITC,2015,0.14
ITC,2015,0.64
ITC,2015,3.49
ITC,2015,0.33
ITC,2015,451530.0
ITC,2015,28.0
ITC,2015,1734732.0
ITC,2015,20875.0
ITC,2015,144144.0
ITC,2015,1899751.0
ITC,2015,107.58
ITC,2015,1.29
ITC,2015,8.94
ITC,2015,117.82
ITC,2015,43741.0
ITC,2015,2287.0
ITC,2015,10266.0
ITC,2015,56294.0
ITC,2015,12235817.0
ITC,2015,628382.0
ITC,2015,3583010.0
ITC,2015,16447209.0
ITC,2015,7.05
ITC,2015,30.1
ITC,2015,24.86
ITC,2015,8.66
ITC,2015,5272.0
ITC,2015,944063.0
ITC,2016,2.7
ITC,2016,0.14
ITC,2016,0.65
ITC,2016,3.49
ITC,2016,0.33
ITC,2016,447255.0
ITC,2016,27.77
ITC,2016,1709180.0
ITC,2016,19842.0
ITC,2016,142564.0
ITC,2016,1871586.0
ITC,2016,106.11
ITC,2016,1.23
ITC,2016,8.85
ITC,2016,116.19
ITC,2016,43538.0
ITC,2016,2212.0
ITC,2016,10392.0
ITC,2016,56142.0
ITC,2016,12059814.0
ITC,2016,596622.0
ITC,2016,3501962.0
ITC,2016,16158398.0
ITC,2016,7.06
ITC,2016,30.07
ITC,2016,24.56
ITC,2016,8.63
ITC,2016,5245.0
ITC,2016,932930.0
ITC,2017,2.65
ITC,2017,0.12
ITC,2017,0.64
ITC,2017,3.42
ITC,2017,0.31
ITC,2017,423631.0
ITC,2017,26.31
ITC,2017,1700118.0
ITC,2017,18436.0
ITC,2017,143353.0
ITC,2017,1861907.0
ITC,2017,105.6
ITC,2017,1.15
ITC,2017,8.9
ITC,2017,115.65
ITC,2017,42711.0
ITC,2017,1977.0
ITC,2017,10352.0
ITC,2017,55040.0
ITC,2017,12041221.0
ITC,2017,537518.0
ITC,2017,3498752.0
ITC,2017,16077491.0
ITC,2017,7.08
ITC,2017,29.16
ITC,2017,24.41
ITC,2017,8.63
ITC,2017,5068.0
ITC,2017,891083.0
ITC,2018,2.65
ITC,2018,0.12
ITC,2018,0.64
ITC,2018,3.42
ITC,2018,0.31
ITC,2018,421374.0
ITC,2018,26.18
ITC,2018,1677213.0
ITC,2018,19074.0
ITC,2018,143259.0
ITC,2018,1839546.0
ITC,2018,104.21
ITC,2018,1.19
ITC,2018,8.9
ITC,2018,114.3
ITC,2018,42690.0
ITC,2018,2000.0
ITC,2018,10314.0
ITC,2018,55004.0
ITC,2018,11968216.0
ITC,2018,547296.0
ITC,2018,3513367.0
ITC,2018,16028879.0
ITC,2018,7.14
ITC,2018,28.69
ITC,2018,24.52
