area_code,year,small_business_support
ITA,2001,59.9103207179669
ITA,2002,61.6384793639264
ITA,2003,64.9071807206875
ITA,2004,67.1749295059094
ITA,2005,70.300040738507
ITA,2006,75.1153209362712
ITA,2007,81.1708226078018
ITA,2008,83.2335798556298
ITA,2009,86.9986796344792
ITA,2010,92.501740016207
ITA,2011,93.434132864862
ITA,2012,93.1160142531823
ITA,2013,90.2279318804187
ITA,2014,88.0646007046889
ITA,2015,86.7679522186824
ITA,2016,84.0804391360283
ITA,2017,79.5556072738612
ITA,2018,75.441160157782
ITA,2019,72.3613449346776
ITA,2020,81.0726558295782
ITA,2021,74.4472993704123
ITA,2022,68.3171872733754
ITA,2023,61.9357764907962
ITA,2024,59.3116245474103
