area_code,year,public_spending_intensity_pct_gdp
ITA,2001,18.3367541043712
ITA,2002,18.4739860052468
ITA,2003,18.9117941725871
ITA,2004,19.0931359128263
ITA,2005,19.5433431498437
ITA,2006,19.3941241808101
ITA,2007,18.9469848114449
ITA,2008,19.4883090708703
ITA,2009,20.5892052227792
ITA,2010,20.4683139046718
ITA,2011,19.7131321083587
ITA,2012,19.7044703023489
ITA,2013,19.7032469855095
ITA,2014,19.437905453041
ITA,2015,19.0193134916677
ITA,2016,18.9253442826016
ITA,2017,18.7448158290116
ITA,2018,18.8133907214108
ITA,2019,18.5421071991348
ITA,2020,20.5680570300128
ITA,2021,19.1946040488087
ITA,2022,18.7892572071706
ITA,2023,17.6651591380703
