area_code,year,self_employment_share
ITC48,2023,20.47
ITC48,2024,19.02
ITC48,2025,17.05
ITC49,2018,18.17
ITC49,2019,18.65
ITC49,2020,16.51
ITC49,2021,16.24
ITC49,2022,16.03
ITC49,2023,14.21
ITC49,2024,15.54
ITC49,2025,16.3
ITC4A,2018,19.36
ITC4A,2019,19.48
ITC4A,2020,18.8
ITC4A,2021,16.28
ITC4A,2022,17.18
ITC4A,2023,18.3
ITC4A,2024,17.75
ITC4A,2025,18.86
ITC4B,2018,22.29
ITC4B,2019,20.2
ITC4B,2020,20.1
ITC4B,2021,19.1
ITC4B,2022,21.13
ITC4B,2023,18.32
ITC4B,2024,17.9
ITC4B,2025,18.8
ITCD,2004,27.62
ITCD,2005,26.18
ITCD,2006,25.95
ITCD,2007,25.36
ITCD,2008,24.65
ITCD,2009,24.09
ITCD,2010,24.05
ITCD,2011,23.73
ITCD,2012,23.72
ITCD,2013,23.63
ITCD,2014,23.35
ITCD,2015,23.26
ITCD,2016,22.67
ITCD,2017,21.79
ITCD,2018,21.79
ITCD,2019,21.7
ITCD,2020,21.2
ITCD,2021,20.63
ITCD,2022,20.64
ITCD,2023,20.46
ITCD,2024,19.9
ITCD,2025,20.38
ITD,2004,28.27
ITD,2005,26.65
ITD,2006,26.63
ITD,2007,25.93
ITD,2008,24.65
ITD,2009,23.95
ITD,2010,24.13
ITD,2011,23.45
ITD,2012,23.56
ITD,2013,24.18
ITD,2014,23.75
ITD,2015,23.26
ITD,2016,22.76
ITD,2017,21.88
ITD,2018,21.81
ITD,2019,21.71
ITD,2020,21.1
ITD,2021,20.55
ITD,2022,20.92
ITD,2023,20.55
ITD,2024,19.93
ITD,2025,20.03
ITD1,2018,21.62
ITD1,2019,21.6
ITD1,2020,21.75
ITD1,2021,22.37
ITD1,2022,23.39
ITD1,2023,19.77
ITD1,2024,17.82
ITD1,2025,17.13
ITD2,2018,19.77
ITD2,2019,18.8
ITD2,2020,19.37
ITD2,2021,18.78
ITD2,2022,18.91
ITD2,2023,19.71
ITD2,2024,19.46
ITD2,2025,17.34
ITD3,2018,21.95
ITD3,2019,22.16
ITD3,2020,21.11
ITD3,2021,20.27
ITD3,2022,21.71
ITD3,2023,20.7
ITD3,2024,19.84
ITD3,2025,19.73
ITD31,2018,25.3
ITD31,2019,26.22
ITD31,2020,24.82
ITD31,2021,21.16
ITD31,2022,21.66
ITD31,2023,20.79
ITD31,2024,20.74
ITD31,2025,21.6
ITD32,2018,20.28
ITD32,2019,21.89
ITD32,2020,21.56
ITD32,2021,19.99
ITD32,2022,23.06
ITD32,2023,22.06
ITD32,2024,19.49
ITD32,2025,21.42
ITD33,2018,20.17
ITD33,2019,19.52
ITD33,2020,19.04
ITD33,2021,19.15
ITD33,2022,17.89
ITD33,2023,18.68
ITD33,2024,18.15
ITD33,2025,20.03
ITD34,2018,23.11
ITD34,2019,21.94
ITD34,2020,21.75
ITD34,2021,20.39
ITD34,2022,21.32
ITD34,2023,19.0
ITD34,2024,17.42
ITD34,2025,15.53
ITD35,2018,19.55
ITD35,2019,19.4
ITD35,2020,16.52
ITD35,2021,19.62
ITD35,2022,19.62
ITD35,2023,20.44
ITD35,2024,20.95
ITD35,2025,15.68
ITD36,2018,21.82
ITD36,2019,21.04
ITD36,2020,19.57
ITD36,2021,19.26
ITD36,2022,23.27
ITD36,2023,21.1
ITD36,2024,20.51
ITD36,2025,23.11
ITD37,2018,20.87
ITD37,2019,23.84
ITD37,2020,26.0
ITD37,2021,24.8
ITD37,2022,23.06
ITD37,2023,23.01
ITD37,2024,21.48
ITD37,2025,22.41
ITD4,2018,21.12
ITD4,2019,19.56
ITD4,2020,19.09
ITD4,2021,19.28
ITD4,2022,18.83
ITD4,2023,19.28
ITD4,2024,19.54
ITD4,2025,18.46
ITD41,2018,22.04
ITD41,2019,18.83
ITD41,2020,16.96
ITD41,2021,15.35
ITD41,2022,16.51
ITD41,2023,17.45
ITD41,2024,17.51
ITD41,2025,15.13
ITD42,2018,22.08
ITD42,2019,20.77
ITD42,2020,21.19
ITD42,2021,22.82
ITD42,2022,21.81
ITD42,2023,22.97
ITD42,2024,22.75
ITD42,2025,20.93
ITD43,2018,20.05
ITD43,2019,19.93
ITD43,2020,17.08
ITD43,2021,16.04
ITD43,2022,15.73
ITD43,2023,13.96
ITD43,2024,14.97
ITD43,2025,18.24
ITD44,2018,18.31
