area_code,year,broadband_penetration
IT,2010,43.4
IT,2011,45.7
IT,2012,48.6
IT,2013,59.6
IT,2014,62.6
IT,2015,65.2
IT,2016,68.0
IT,2017,70.2
IT,2018,73.7
IT,2019,74.7
IT,2020,77.8
IT,2021,79.5
IT,2022,81.7
IT,2024,84.1
