area_code,year,rd_spending_eur
IT,2012,5196231
IT,2013,5324648
IT,2014,5262145
IT,2015,5397914
IT,2016,5382692
IT,2017,5278514
IT,2018,5491753
IT,2019,5581590
IT,2020,5554259
IT,2021,6110835
IT,2022,6650930
IT,2023,7575190
