area_code,year,green_urban_space_per_capita
011015,2020,12.9
011015,2020,12.1
011015,2021,12.9
011015,2021,12.2
011015,2022,13.3
011015,2022,12.5
011015,2023,13.3
011015,2023,12.5
012133,2011,18.6
012133,2011,15.7
012133,2012,18.6
012133,2012,16.0
012133,2013,19.1
012133,2013,16.1
012133,2014,19.1
012133,2014,15.9
012133,2015,19.1
012133,2015,15.9
012133,2016,19.1
012133,2016,15.9
012133,2017,19.2
012133,2017,16.4
012133,2018,19.2
012133,2018,16.0
012133,2019,19.3
012133,2019,16.1
012133,2020,19.4
012133,2020,16.6
012133,2021,19.7
012133,2021,16.4
012133,2022,19.8
012133,2022,16.5
012133,2023,20.3
012133,2023,16.5
013075,2011,20.5
013075,2011,16.0
013075,2012,20.3
013075,2012,15.8
013075,2013,20.1
013075,2013,15.6
013075,2014,20.0
013075,2014,15.5
013075,2015,19.9
013075,2015,15.5
013075,2016,19.7
013075,2016,15.4
013075,2017,19.7
013075,2017,15.4
013075,2018,19.8
013075,2018,15.4
013075,2019,19.9
013075,2019,15.5
013075,2020,20.4
013075,2020,15.9
013075,2021,20.7
013075,2021,16.2
013075,2022,20.7
013075,2022,16.2
013075,2023,20.7
013075,2023,16.2
014061,2011,290.4
014061,2011,41.2
014061,2012,291.1
014061,2012,41.6
014061,2013,291.9
014061,2013,42.1
014061,2014,292.6
014061,2014,42.5
014061,2015,294.5
014061,2015,42.5
014061,2016,296.1
014061,2016,42.9
014061,2017,297.6
014061,2017,44.1
014061,2018,297.4
014061,2018,44.0
014061,2019,298.2
014061,2019,44.1
014061,2020,300.9
014061,2020,44.7
014061,2021,303.3
014061,2021,45.2
014061,2022,303.8
014061,2022,45.3
014061,2023,303.1
014061,2023,45.2
015146,2011,17.2
015146,2011,16.8
015146,2012,17.2
015146,2012,15.9
015146,2013,17.2
015146,2013,16.8
015146,2014,17.2
015146,2014,16.1
015146,2015,17.5
015146,2015,16.1
015146,2016,17.7
015146,2016,16.4
015146,2017,17.7
015146,2017,17.4
015146,2018,17.6
015146,2018,16.3
015146,2019,17.6
015146,2019,16.2
015146,2020,17.9
015146,2020,17.5
015146,2021,18.4
015146,2021,17.0
015146,2022,18.9
015146,2022,17.5
015146,2023,18.8
015146,2023,17.4
016024,2011,25.6
016024,2011,24.2
016024,2012,25.7
016024,2012,24.2
016024,2013,25.8
016024,2013,25.2
016024,2014,25.8
016024,2014,24.3
016024,2015,25.8
016024,2015,24.3
016024,2016,25.6
016024,2016,24.1
016024,2017,25.6
016024,2017,25.1
016024,2018,25.5
016024,2018,23.9
016024,2019,25.4
016024,2019,23.8
016024,2020,25.5
016024,2020,25.0
016024,2021,25.8
016024,2021,24.2
016024,2022,25.8
016024,2022,24.2
016024,2023,25.8
016024,2023,24.2
017029,2011,25.8
017029,2011,22.1
017029,2012,25.8
017029,2012,25.2
017029,2013,25.8
017029,2013,22.0
017029,2014,25.7
017029,2014,24.9
017029,2015,25.6
017029,2015,24.9
017029,2016,25.6
017029,2016,24.8
017029,2017,25.6
017029,2017,23.0
017029,2018,25.4
017029,2018,24.7
017029,2019,25.3
017029,2019,24.6
017029,2020,25.2
017029,2020,22.7
017029,2021,25.4
017029,2021,24.7
017029,2022,25.4
017029,2022,24.7
017029,2023,25.3
017029,2023,24.6
018110,2011,24.4
018110,2011,11.6
018110,2012,24.9
018110,2012,10.3
018110,2013,24.8
018110,2013,12.1
018110,2014,24.6
018110,2014,10.1
018110,2015,24.4
018110,2015,10.1
018110,2016,24.4
018110,2016,10.0
018110,2017,24.3
018110,2017,11.8
018110,2018,24.2
018110,2018,9.9
018110,2019,24.1
018110,2019,9.9
018110,2020,24.6
018110,2020,11.8
018110,2021,24.9
018110,2021,10.1
018110,2022,24.9
018110,2022,10.1
018110,2023,24.7
018110,2023,10.0
019036,2011,32.5
019036,2011,23.5
019036,2012,32.6
019036,2012,23.6
019036,2013,32.6
019036,2013,23.6
019036,2014,32.5
019036,2014,23.4
019036,2015,32.3
019036,2015,23.4
019036,2016,32.3
019036,2016,23.2
019036,2017,32.5
019036,2017,23.7
019036,2018,32.3
019036,2018,23.0
019036,2019,32.2
019036,2019,22.9
019036,2020,32.4
019036,2020,23.6
019036,2021,32.8
019036,2021,23.3
019036,2022,32.9
019036,2022,23.4
019036,2023,33.3
019036,2023,23.4
020030,2011,37.4
020030,2011,22.0
020030,2012,37.1
020030,2012,21.5
020030,2013,38.3
020030,2013,21.8
020030,2014,38.2
020030,2014,21.3
020030,2015,38.2
020030,2015,21.3
020030,2016,38.0
020030,2016,21.2
020030,2017,37.7
020030,2017,21.5
020030,2018,37.8
020030,2018,21.2
020030,2019,39.0
020030,2019,21.2
020030,2020,39.4
020030,2020,23.2
020030,2021,39.6
