area_code,year,pm10_annual_avg
ITC41,2017,29.0
ITC41,2018,24.0
ITC41,2019,24.0
ITC41,2020,23.0
ITC41,2021,22.0
ITC41,2022,23.0
ITC41,2023,20.0
ITC42,2013,28.0
ITC42,2014,25.0
ITC42,2015,34.0
ITC42,2016,31.0
ITC42,2017,34.0
ITC42,2018,29.0
ITC42,2019,26.0
ITC42,2020,28.0
ITC42,2021,28.0
ITC42,2022,29.0
ITC42,2023,22.0
ITC43,2013,28.0
ITC43,2014,21.0
ITC43,2015,26.0
ITC43,2016,25.0
ITC43,2017,28.0
ITC43,2018,23.0
ITC43,2019,22.0
ITC43,2020,21.0
ITC43,2021,21.0
ITC43,2022,22.0
ITC43,2023,19.0
ITC44,2013,26.0
ITC44,2014,20.0
ITC44,2015,27.0
ITC44,2016,23.0
ITC44,2017,25.0
ITC44,2018,23.0
ITC44,2019,21.0
ITC44,2020,20.0
ITC44,2021,21.0
ITC44,2022,24.0
ITC44,2023,22.0
ITC45,2013,38.0
ITC45,2014,26.0
ITC45,2015,42.0
ITC45,2016,38.0
ITC45,2017,40.0
ITC45,2018,35.0
ITC45,2019,35.0
ITC45,2020,36.0
ITC45,2021,37.0
ITC45,2022,39.0
ITC45,2023,32.0
ITC46,2013,35.0
ITC46,2014,32.0
ITC46,2015,38.0
ITC46,2016,33.0
ITC46,2017,38.0
ITC46,2018,30.0
ITC46,2019,27.0
ITC46,2020,30.0
ITC46,2021,28.0
ITC46,2022,29.0
ITC46,2023,26.0
ITC47,2013,39.0
ITC47,2014,33.0
ITC47,2015,37.0
ITC47,2016,33.0
ITC47,2017,39.0
ITC47,2018,33.0
ITC47,2019,33.0
ITC47,2020,32.0
ITC47,2021,31.0
ITC47,2022,33.0
ITC47,2023,31.0
ITC48,2013,36.0
ITC48,2014,36.0
ITC48,2015,45.0
ITC48,2016,36.0
ITC48,2017,41.0
ITC48,2018,35.0
ITC48,2019,36.0
ITC48,2020,32.0
ITC48,2021,32.0
ITC48,2022,33.0
ITC48,2023,29.0
ITC49,2013,37.0
ITC49,2014,37.0
ITC49,2015,39.0
ITC49,2016,33.0
ITC49,2017,41.0
ITC49,2018,38.0
ITC49,2019,29.0
ITC49,2020,33.0
ITC49,2021,32.0
ITC49,2022,34.0
ITC49,2023,30.0
ITC4A,2013,37.0
ITC4A,2014,37.0
ITC4A,2015,40.0
ITC4A,2016,36.0
ITC4A,2017,42.0
ITC4A,2018,34.0
ITC4A,2019,35.0
ITC4A,2020,35.0
ITC4A,2021,34.0
ITC4A,2022,35.0
ITC4A,2023,32.0
ITC4B,2013,34.0
ITC4B,2014,32.0
ITC4B,2015,37.0
ITC4B,2016,35.0
ITC4B,2017,40.0
ITC4B,2018,30.0
ITC4B,2019,31.0
ITC4B,2020,34.0
ITC4B,2021,34.0
ITC4B,2022,34.0
ITC4B,2023,33.0
ITCD,2013,42.0
ITCD,2014,39.0
ITCD,2015,44.0
ITCD,2016,41.0
ITCD,2017,44.0
ITCD,2018,41.0
ITCD,2019,39.0
ITCD,2020,36.0
ITCD,2021,38.0
ITCD,2022,42.0
ITCD,2023,35.0
ITD,2013,19.0
ITD,2014,19.0
ITD,2015,21.0
ITD,2016,19.0
ITD,2017,21.0
ITD,2018,19.0
ITD,2019,19.0
ITD,2020,18.0
ITD,2021,18.0
ITD,2022,20.0
ITD,2023,18.0
ITD10,2013,20.0
ITD10,2014,18.0
ITD10,2015,22.0
ITD10,2016,17.0
ITD10,2017,21.0
ITD10,2018,20.0
ITD10,2019,18.0
ITD10,2020,18.0
ITD10,2021,19.0
ITD10,2022,20.0
ITD10,2023,19.0
ITD20,2013,26.0
ITD20,2014,22.0
ITD20,2015,26.0
ITD20,2016,23.0
ITD20,2017,27.0
ITD20,2018,24.0
ITD20,2019,22.0
ITD20,2020,21.0
ITD20,2021,23.0
ITD20,2022,24.0
ITD20,2023,22.0
ITD3,2013,6.0
ITD3,2014,6.0
ITD3,2015,6.0
ITD3,2016,7.0
ITD3,2017,7.0
ITD3,2018,7.0
