area_code,frequency,year,poverty_rate,data_type
IT,A,2014,10.2,INCID_POVREL_FAM
IT,A,2015,10.2,INCID_POVREL_FAM
IT,A,2016,10.4,INCID_POVREL_FAM
IT,A,2017,12.0,INCID_POVREL_FAM
IT,A,2018,11.5,INCID_POVREL_FAM
IT,A,2019,11.2,INCID_POVREL_FAM
IT,A,2020,9.8,INCID_POVREL_FAM
IT,A,2021,10.9,INCID_POVREL_FAM
IT,A,2022,10.1,INCID_POVREL_FAM
IT,A,2023,10.6,INCID_POVREL_FAM
IT,A,2024,10.9,INCID_POVREL_FAM
