area_code,frequency,year,births
IT,A,2001,535282
IT,A,2002,538198
IT,A,2003,544063
IT,A,2004,562599
IT,A,2005,554022
IT,A,2006,560010
IT,A,2007,563933
IT,A,2008,576659
IT,A,2009,568857
IT,A,2010,561944
IT,A,2011,546585
IT,A,2012,534186
IT,A,2013,514308
IT,A,2014,502596
IT,A,2015,485780
IT,A,2016,473438
IT,A,2017,458151
IT,A,2018,439747
IT,A,2019,420084
IT,A,2020,404892
IT,A,2021,400249
IT,A,2022,393333
IT,A,2023,379890
IT,A,2024,369944
