area_code,year,healthcare_spending_allocation
IT,2012,6983.592592592592
IT,2013,6925.29012345679
IT,2014,7054.197530864198
IT,2015,7152.259259259259
IT,2016,7215.092592592592
IT,2017,7328.259259259259
IT,2018,7474.36049382716
IT,2019,7558.391358024692
IT,2020,7798.9670781893
IT,2021,8167.851851851852
IT,2022,8424.058641975309
IT,2023,8534.296296296296
