area_code,year,house_price_index,income,housing_affordability_ratio
IT,2010,100.0,1018188.6,9.821363154134705e-05
IT,2011,101.4,1042315.9,9.728336677968743e-05
IT,2012,98.8,1007428.7,9.807145657057417e-05
IT,2013,92.4,1010061.7,9.147956011004081e-05
IT,2014,88.0,1017906.8,8.645192271040923e-05
IT,2015,84.7,1031247.6,8.213352448044485e-05
IT,2016,84.9,1045364.8,8.121566748756033e-05
