DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2021,3691360,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2022,3704343,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2023,3756385,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2024,3801967,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2025,3837399,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2019,956198,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2020,959256,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2021,961660,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2022,967301,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2023,978135,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2024,989655,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2025,999301,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC11,JAN,1,TOTAL,1,2019,494390,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC11,JAN,1,TOTAL,1,2020,496745,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC11,JAN,1,TOTAL,1,2021,499981,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC11,JAN,1,TOTAL,1,2022,503314,,,FILTER__ITC1,,,,,,,
