DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,CITIZENSHIP,COUNTRY_BIRTH,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,NOTE_CITIZENSHIP,NOTE_COUNTRY_BIRTH,NOTE_EDU_LEV_HIGHEST,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2013,10,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2014,9.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2015,10.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2016,10.2,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2017,10.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2018,10.6,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2019,10.6,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2020,12.5,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2021,11.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2022,12.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2023,11.4,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,9,TOTAL,99,TOTAL,X1033,99,2024,11.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2011,85,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2012,86,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2013,86,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2014,87,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2015,87,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2016,87,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2017,87,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2018,87,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2019,87,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2020,86,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2021,87,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2022,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2023,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,1,TOTAL,99,TOTAL,X1033,99,2024,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2011,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2012,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2013,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2014,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2015,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2016,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2017,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2018,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2019,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2020,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2021,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2022,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2023,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,2,TOTAL,99,TOTAL,X1033,99,2024,91,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2011,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2012,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2013,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2014,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2015,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2016,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2017,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2018,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2019,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2020,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2021,88,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2022,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2023,90,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LEXISPOINT,9,TOTAL,99,TOTAL,X1033,99,2024,89,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2011,79.6,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2012,79.7,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2013,80,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2014,80.3,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2015,80.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2016,80.6,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2017,80.5,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2018,80.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2019,81.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2020,79.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2021,80.3,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,LIFEEXP0,1,TOTAL,99,TOTAL,X1033,99,2022,80.6,,,,,,,,,,,,,
