area_code,year,manufacturing_incentives
ITA,2001,17.1970447411482
ITA,2002,16.8295128748527
ITA,2003,16.1342045725768
ITA,2004,15.8737994184263
ITA,2005,15.5229654911425
ITA,2006,15.572836404605
ITA,2007,15.9581664960139
ITA,2008,15.4805310981416
ITA,2009,13.6576018738131
ITA,2010,14.1630798629891
ITA,2011,14.1319079197052
ITA,2012,13.7582342074538
ITA,2013,13.7593478951288
ITA,2014,13.8362218969996
ITA,2015,14.2623447666015
ITA,2016,14.6638600182643
ITA,2017,14.8167748451842
ITA,2018,14.9480712750382
ITA,2019,14.8032822287955
ITA,2020,14.477256120151
ITA,2021,15.365300568128
ITA,2022,15.3822538780623
ITA,2023,15.4757601471146
ITA,2024,14.8235735691366
