area_code,year,construction_production_index
IT,2001,140.84166666666667
IT,2002,148.19166666666666
IT,2003,151.96388888888887
IT,2004,155.49444444444444
IT,2005,156.53611111111113
IT,2006,162.23333333333332
IT,2007,173.10555555555555
IT,2008,171.76388888888889
IT,2009,151.94444444444446
IT,2010,146.66111111111113
IT,2011,139.95277777777778
IT,2012,121.39166666666668
IT,2013,109.00277777777778
IT,2014,101.48888888888888
IT,2015,99.84444444444445
IT,2016,99.63055555555555
IT,2017,100.66944444444444
IT,2018,102.0
IT,2019,105.08333333333333
IT,2020,97.41944444444444
IT,2021,121.46666666666667
IT,2022,136.34722222222223
IT,2023,136.0027777777778
