area_code,year,cultural_spending
IT,2008.0,373666712.0
IT,2009.0,370762377.0
IT,2010.0,375542550.0
IT,2011.0,386894732.0
IT,2012.0,380711483.0
IT,2013.0,376785615.0
IT,2014.0,377770806.0
IT,2015.0,392874070.0
IT,2016.0,402962113.0
IT,2017.0,420629155.0
IT,2018.0,428844937.0
IT,2019.0,436739271.0
IT,2020.0,208447085.0
IT,2021.0,289178142.0
IT,2022.0,412008532.0
IT,2023.0,447170049.0
IT,2024.0,466158045.0
