area_code,year,total_employees,startup_employees,startup_share
ITC31,2014,20957.0,1671.88,7.977668559431217
ITC31,2015,21045.15,1551.38,7.3716747088996755
ITC31,2016,21731.74,1850.01,8.512940059102492
ITC31,2017,23068.67,1984.2,8.601276103043652
ITC32,2012,37922.16,3343.12,8.815742563187328
ITC32,2013,36015.52,2469.0,6.855377903748162
ITC32,2014,35930.83,2177.2,6.059420280577987
ITC32,2015,34987.68,2003.66,5.726758676196879
ITC32,2016,35451.78,2397.5,6.762706978323798
ITC32,2017,36971.74,2672.96,7.229738172993752
ITC33,2012,192712.22,10117.47,5.250040708368156
ITC33,2013,172065.93,11637.92,6.7636399605662785
ITC33,2014,164469.45,12645.94,7.688929463800116
ITC33,2015,165069.73,10244.02,6.205874329593923
ITC33,2016,169307.66,10019.97,5.918202401474333
ITC33,2017,175389.13,9737.02,5.551666742403021
ITC34,2012,33034.63,3186.93,9.64723988130032
ITC34,2013,32576.26,2499.79,7.673655600735015
ITC34,2014,32604.59,2487.19,7.628343125921841
ITC34,2015,32763.59,2833.84,8.649357411687792
ITC34,2016,30690.08,2971.24,9.681434522164816
ITC34,2017,31485.09,2900.81,9.213281588205719
ITC4,2012,2871682.13,197635.99,6.882237693905209
ITC4,2013,2844771.58,166906.24,5.86712273046541
ITC4,2014,2834301.7,181409.9,6.400514807580294
ITC4,2015,2871512.57,192933.4,6.718877082958407
ITC4,2016,2987287.65,226031.61,7.566449451227101
ITC4,2017,3118397.81,225637.72,7.235693896283232
ITC41,2012,194078.83,9726.44,5.011592454468115
ITC41,2013,189658.93,8603.32,4.536206125385185
ITC41,2014,176550.49,8664.96,4.907921807523728
ITC41,2015,165170.63,10918.93,6.61069707126503
ITC41,2016,158364.98,12461.83,7.869056656339046
ITC41,2017,162900.37,10234.77,6.282840241553779
ITC42,2012,120248.58,6368.42,5.2960459075691375
ITC42,2013,117150.54,5262.93,4.492450482942717
ITC42,2014,115590.13,4684.81,4.0529498496108625
ITC42,2015,116676.3,5528.65,4.738451596425324
ITC42,2016,118355.24,6857.34,5.793862612251051
ITC42,2017,120381.19,7209.96,5.989274570221477
ITC43,2012,67438.96,3075.89,4.560998568186697
ITC43,2013,65452.76,2868.15,4.382015364974678
ITC43,2014,63924.73,2695.11,4.216067866066857
ITC43,2015,63629.87,2733.31,4.295639767926604
ITC43,2016,64240.67,2812.9,4.378690321878649
ITC43,2017,65731.87,2845.8,4.329406724622318
ITC44,2012,35974.52,1273.26,3.5393383983997566
ITC44,2013,34753.32,1270.6,3.6560535799169687
ITC44,2014,33722.84,1402.67,4.15940650312963
ITC44,2015,33901.05,1285.36,3.79150498288401
ITC44,2016,34730.28,1632.88,4.701603327125494
ITC44,2017,36152.36,1583.44,4.379907701737867
ITC45,2012,1451480.98,107691.96,7.419453749920995
ITC45,2013,1465958.13,90816.2,6.1950064017176265
ITC45,2014,1490054.04,102606.99,6.88612541864589
ITC45,2015,1534497.09,113267.29,7.381394903785708
ITC45,2016,1607843.85,124625.9,7.751119612765878
ITC45,2017,1685403.54,120391.11,7.143162283852804
ITC46,2012,279743.56,17284.75,6.1787838833537405
ITC46,2013,271110.25,14629.58,5.396173696863177
ITC46,2014,266623.86,16698.81,6.2630591275664536
ITC46,2015,264245.61,15020.09,5.684139842474583
ITC46,2016,292860.12,22761.01,7.771973186379901
ITC46,2017,302531.08,21202.07,7.008228708270238
ITC47,2012,288055.55,22302.87,7.742558683559474
ITC47,2013,276391.99,17680.36,6.396842397639671
ITC47,2014,272424.44,17110.78,6.280926924177581
ITC47,2015,274432.98,16822.04,6.129744318631093
ITC47,2016,282750.71,20380.54,7.207953606906946
ITC47,2017,291927.44,22656.73,7.761082685478282
ITC48,2012,69447.92,5758.47,8.291781812903828
ITC48,2013,65471.21,4078.26,6.229089091220401
ITC48,2014,63260.25,4630.05,7.319051062871234
ITC48,2015,62510.47,5164.95,8.262535859992735
ITC48,2016,64387.0,7271.87,11.294003447900973
ITC48,2017,68868.51,10732.92,15.584655454285276
ITC49,2012,31061.68,3449.62,11.105709671852907
ITC49,2013,29229.03,2764.31,9.457412716056606
ITC49,2014,27508.44,2805.28,10.19788835717329
ITC49,2015,28717.37,1741.69,6.06493561213997
ITC49,2016,30620.71,1486.76,4.855406683907722
ITC49,2017,31644.51,1890.76,5.975001666955817
ITC4A,2012,55152.54,3105.48,5.630710752396897
ITC4A,2013,54414.33,3424.93,6.294169201385003
ITC4A,2014,52871.85,2798.4,5.292797585104362
ITC4A,2015,52868.0,3180.73,6.016361504123478
ITC4A,2016,54597.76,3707.8,6.791121100938939
ITC4A,2017,57070.91,3838.25,6.725405289665084
ITC4B,2012,83934.46,6603.22,7.867114412840685
ITC4B,2013,83176.03,5645.26,6.787123646079285
ITC4B,2014,81542.77,6158.87,7.552932037996747
ITC4B,2015,82044.3,6351.6,7.741671267839448
ITC4B,2016,84199.19,9244.86,10.979749330130135
ITC4B,2017,88145.56,9944.39,11.28178208862704
ITD,2012,2764641.31,172162.66,6.227305487235159
ITD,2013,2721388.24,149090.75,5.478481453274744
ITD,2014,2697175.63,150640.19,5.5851086716218035
ITD,2015,2721830.14,164334.53,6.03764825677182
ITD,2016,2796465.65,212179.44,7.5874144922895805
ITD,2017,2898754.73,230463.22,7.950421524624818
ITD1,2012,127262.02,6821.01,5.359815913655936
ITD1,2013,128199.47,5631.28,4.39259226266692
ITD1,2014,136207.8,5100.29,3.744491871977963
ITD1,2015,135289.69,6227.3,4.602937592657652
ITD1,2016,141198.32,8084.69,5.7257692584444335
ITD1,2017,149849.84,8462.06,5.647026383211353
ITD10,2012,127262.02,6821.01,5.359815913655936
ITD10,2013,128199.47,5631.28,4.39259226266692
ITD10,2014,136207.8,5100.29,3.744491871977963
ITD10,2015,135289.69,6227.3,4.602937592657652
ITD10,2016,141198.32,8084.69,5.7257692584444335
ITD10,2017,149849.84,8462.06,5.647026383211353
ITD2,2012,112840.05,4657.41,4.127444112263332
ITD2,2013,113673.53,4281.72,3.7666816540315065
ITD2,2014,109422.86,4955.7,4.528943951931068
ITD2,2015,110552.56,5107.21,4.619712107978323
ITD2,2016,114612.46,6065.75,5.292400145673516
ITD2,2017,119662.65,6557.96,5.480373366292658
