area_code,year,public_transportation_usage
110001,2002,3.9468682798
060038,2002,11.383636794
002158,2002,6.6723010542
110009,2003,13.235624019
002158,2003,6.7971117846
110002,2003,6.9647282406
004078,2003,45.655012464
003106,2003,72.515631759
IT,2003,211.78243516
005005,2003,30.416989271
110001,2003,4.0471791368
025006,2003,82.137905667
050026,2003,84.135047653
049009,2003,67.354956133
070006,2003,58.54609238
023091,2003,111.62428898
097042,2003,70.815683719
095038,2003,3.785035035
024116,2003,69.44300173
022205,2003,165.23022625
094023,2003,30.03003003
021008,2003,107.82414346
098031,2003,24.805060707
052032,2003,240.7951841
067041,2003,46.162300788
099014,2003,92.985542722
020030,2003,55.412667545
069022,2003,86.792634261
093033,2003,37.450436162
026086,2003,70.010603931
092009,2003,208.9581592
051002,2003,55.479485156
068028,2003,62.69610477
096004,2003,14.078443191
074001,2003,17.947978023
030129,2003,102.01319926
017029,2003,161.35344024
066049,2003,61.734310746
054039,2003,141.0660365
103072,2003,18.066728208
015146,2003,640.90196312
016024,2003,228.6593001
053011,2003,20.270503042
033032,2003,82.418648342
046017,2003,27.485872603
045010,2003,16.614730141
089017,2003,17.152058816
031007,2003,20.915724391
087015,2003,122.6623305
032006,2003,368.63013502
104025,2003,3.3585822495
090064,2003,75.610087382
029041,2003,16.904750136
091051,2003,37.382417523
028060,2003,135.97277264
073027,2003,81.042728754
072006,2003,58.502878103
047014,2003,56.882484343
088009,2003,5.8477872087
101010,2003,9.9614822686
100005,2003,50.76373758
102047,2003,3.9085633069
018110,2003,102.18039807
071024,2003,54.867930863
027042,2003,603.44142683
048017,2003,219.34493105
019036,2003,25.648773426
038008,2003,62.907571258
044007,2003,29.320957688
035033,2003,78.070772255
075035,2003,15.635134282
010025,2003,247.08350262
107003,2003,1.174858038
106015,2003,0.0
106025,2003,0.0
080063,2003,38.695090975
043023,2003,71.866107172
076063,2003,21.783961196
009056,2003,75.590500331
107009,2003,4.3441878683
007003,2003,47.383805905
062008,2003,32.485462755
058091,2003,483.1279098
061022,2003,43.692539759
060038,2003,11.290588429
006003,2003,36.03909008
001272,2003,186.70356363
059011,2003,7.9271940199
108033,2003,42.050475394
008031,2003,32.793915467
057059,2003,102.34368129
042002,2003,147.93984353
078045,2003,106.40598944
041044,2003,18.450204609
081021,2003,33.374283374
039014,2003,37.193575655
079023,2003,40.972302639
040012,2003,39.666075475
109006,2003,26.865094704
011015,2003,133.68952083
086009,2003,38.102197401
013075,2003,119.3934417
105010,2003,0.0
056059,2003,44.122334625
063049,2003,250.36385499
105018,2003,11.858879336
012133,2003,71.776345806
014061,2003,5.6965542794
085004,2003,13.114754098
034027,2003,157.81608776
077014,2003,19.504016288
036023,2003,43.166843903
083048,2003,42.380318375
037006,2003,244.93240302
082053,2003,64.419494346
065116,2003,65.013155689
064008,2003,79.510648102
055032,2003,34.042871223
084001,2003,21.611447096
104017,2003,51.991659092
019036,2004,25.35823933
099014,2004,92.312888155
067041,2004,45.658547694
094023,2004,29.863978909
069022,2004,84.996434558
096004,2004,16.929803778
052032,2004,238.82132491
098031,2004,22.92391611
025006,2004,82.507925326
021008,2004,111.14501922
020030,2004,104.75068545
032006,2004,361.21316006
045010,2004,16.586828537
046017,2004,32.162818955
074001,2004,17.293847796
031007,2004,20.837921163
087015,2004,117.63076015
089017,2004,20.701916754
104025,2004,3.5016257548
053011,2004,20.157090929
066049,2004,61.504474588
030129,2004,99.689508718
054039,2004,138.27442501
103072,2004,17.931664058
016024,2004,228.21846554
015146,2004,624.73335856
072006,2004,57.57954885
017029,2004,162.62869249
102047,2004,4.0870118908
100005,2004,49.903697079
018110,2004,106.98168304
071024,2004,53.945447263
048017,2004,222.67372756
027042,2004,617.04063627
101010,2004,9.9194868319
091051,2004,35.99146426
028060,2004,137.85052852
090064,2004,75.047208422
029041,2004,16.387798664
047014,2004,56.078068775
088009,2004,5.846685363
073027,2004,82.040874761
IT,2004,207.94676719
024116,2004,71.314230831
049009,2004,62.244682011
050026,2004,87.10410429
070006,2004,59.499138115
095038,2004,3.7219889571
001272,2004,182.26530299
023091,2004,116.39980432
097042,2004,70.074347437
110002,2004,6.8859038018
004078,2004,47.363579229
110009,2004,13.046034397
002158,2004,6.8996984164
005005,2004,31.756212727
110001,2004,4.0969262759
003106,2004,60.183604382
068028,2004,64.17068585
026086,2004,70.183587161
092009,2004,205.28662912
022205,2004,164.98795258
093033,2004,37.216321091
051002,2004,62.401171614
063049,2004,246.77797169
011015,2004,130.47142537
012133,2004,70.23051833
086009,2004,38.563247579
065116,2004,73.395572779
105018,2004,11.997836456
056059,2004,43.589125975
105010,2004,0.0
033032,2004,82.242215513
013075,2004,108.1173636
064008,2004,79.369978746
076063,2004,17.726609514
077014,2004,19.356974878
080063,2004,38.410781358
043023,2004,71.265678449
037006,2004,247.80604414
082053,2004,57.564278266
036023,2004,42.798564839
083048,2004,41.712346435
106025,2004,0.0
035033,2004,76.185176352
044007,2004,29.184383456
075035,2004,7.0379941717
010025,2004,245.3536159
106015,2004,0.0
107003,2004,1.1451006053
009056,2004,76.895076159
034027,2004,153.98275511
084001,2004,20.274167826
014061,2004,6.9121238653
085004,2004,11.426877861
055032,2004,41.425561862
104017,2004,52.374667421
109006,2004,28.867545716
007003,2004,46.804969561
081021,2004,32.055799238
039014,2004,39.690919898
008031,2004,33.663736675
107009,2004,4.0756497801
058091,2004,468.27552319
038008,2004,66.612936337
062008,2004,40.089158288
057059,2004,104.96095298
108033,2004,42.00409216
040012,2004,42.317684841
041044,2004,18.339154856
078045,2004,106.31360537
042002,2004,131.12883713
079023,2004,42.900069992
061022,2004,43.811098559
059011,2004,8.0010451816
006003,2004,36.402581727
060038,2004,11.129477715
110009,2005,12.784449325
002158,2005,7.4950646338
004078,2005,45.565974975
059011,2005,7.8082965374
078045,2005,107.53558371
041044,2005,18.47361611
003106,2005,63.523104839
110002,2005,6.8533985015
080063,2005,40.826324814
038008,2005,66.775601601
076063,2005,14.743552425
077014,2005,19.907044226
039014,2005,37.91632469
081021,2005,30.732943993
079023,2005,42.116693286
040012,2005,43.710820995
043023,2005,72.902580987
085004,2005,11.154103175
034027,2005,152.94352767
084001,2005,19.468097713
074001,2005,17.939834281
045010,2005,16.628415537
033032,2005,82.52304902
086009,2005,39.374515743
083048,2005,42.950710142
035033,2005,75.436929544
075035,2005,13.871853597
044007,2005,29.161556957
037006,2005,248.19024604
036023,2005,42.309729629
082053,2005,59.787667605
042002,2005,119.63134455
047014,2005,57.30638944
093033,2005,38.756497009
026086,2005,71.277908468
092009,2005,211.4983098
070006,2005,60.988637467
049009,2005,62.258309112
025006,2005,87.577144297
094023,2005,29.692864434
096004,2005,15.387611998
022205,2005,167.74117711
068028,2005,67.745700597
069022,2005,82.625717299
023091,2005,122.28805975
097042,2005,69.299505004
095038,2005,3.7433236453
024116,2005,71.58070395
046017,2005,22.45693129
090064,2005,74.890634518
028060,2005,138.45701578
029041,2005,16.574477266
048017,2005,229.96353543
071024,2005,54.145186914
027042,2005,655.04564433
091051,2005,37.411761493
088009,2005,5.913701699
030129,2005,99.440646364
072006,2005,53.535925343
073027,2005,83.158091146
031007,2005,22.346062739
089017,2005,20.706119267
087015,2005,112.67106836
032006,2005,348.73053565
016024,2005,240.64596252
103072,2005,18.502288441
104025,2005,3.1401655724
015146,2005,625.97050657
065116,2005,73.899452405
064008,2005,79.002115501
014061,2005,7.0059756851
104017,2005,52.959437512
105018,2005,12.218963832
011015,2005,131.37439048
063049,2005,247.96846338
055032,2005,37.626734014
062008,2005,39.64729764
106025,2005,0.0
010025,2005,247.4294108
106015,2005,0.0
005005,2005,43.080017395
IT,2005,209.3844191
110001,2005,4.4668240983
001272,2005,184.16707204
058091,2005,470.35391205
057059,2005,101.72127306
009056,2005,81.468406905
107003,2005,1.1494630366
108033,2005,42.166208071
006003,2005,38.380233356
060038,2005,12.772991899
061022,2005,43.569091367
007003,2005,45.034843206
109006,2005,29.372496662
107009,2005,4.0499614716
008031,2005,33.931644947
051002,2005,61.926025781
101010,2005,9.9089205057
018110,2005,106.26446861
100005,2005,51.577927939
066049,2005,60.49030747
053011,2005,16.393442623
017029,2005,164.6299935
102047,2005,4.1672208184
099014,2005,90.982387881
019036,2005,25.201965753
067041,2005,45.809632158
056059,2005,43.297927826
013075,2005,117.42100254
012133,2005,69.186395866
105010,2005,0.0
054039,2005,135.63176624
021008,2005,110.73392107
020030,2005,110.67721929
098031,2005,24.271503803
052032,2005,239.79014221
050026,2005,87.722884725
045010,2006,17.335838679
086009,2006,39.580124971
074001,2006,17.845578182
036023,2006,41.081794708
037006,2006,248.48112335
042002,2006,123.24064876
033032,2006,84.919458196
085004,2006,10.903916475
043023,2006,74.297377188
084001,2006,18.715152336
034027,2006,154.61177017
068028,2006,69.427711458
069022,2006,85.144715389
096004,2006,12.494014192
022205,2006,167.92810264
095038,2006,3.7347422117
024116,2006,71.579868709
023091,2006,124.97644675
097042,2006,66.927330258
026086,2006,104.01920055
092009,2006,242.09969878
047014,2006,58.030511246
093033,2006,39.19403809
025006,2006,89.641156983
094023,2006,29.613177864
070006,2006,62.609170838
049009,2006,63.133106567
072006,2006,55.064136682
073027,2006,79.121515112
088009,2006,5.8694159029
030129,2006,99.261740803
087015,2006,103.66711353
032006,2006,347.69250962
031007,2006,23.7498278
089017,2006,20.649949654
028060,2006,133.58620984
029041,2006,16.270019751
046017,2006,23.076876363
090064,2006,76.809718367
027042,2006,670.48563802
091051,2006,37.496062776
048017,2006,234.39996616
071024,2006,54.821455894
076063,2006,18.18327986
077014,2006,19.97565991
080063,2006,39.072251104
038008,2006,61.200293581
079023,2006,43.662992809
040012,2006,47.239497174
039014,2006,38.848666784
081021,2006,37.605992086
004078,2006,45.660432496
059011,2006,8.2024263676
110009,2006,12.763969352
002158,2006,7.8493815809
003106,2006,71.096138492
110002,2006,6.0651276629
078045,2006,107.10231127
041044,2006,14.498183655
075035,2006,14.606614863
044007,2006,26.153920666
083048,2006,41.352480864
035033,2006,77.491275138
082053,2006,59.83226806
053011,2006,17.339386292
102047,2006,4.2215891479
066049,2006,66.804890057
020030,2006,117.99206125
021008,2006,107.0017338
050026,2006,88.128848562
017029,2006,172.64099207
101010,2006,9.8961726552
051002,2006,51.506682995
100005,2006,50.448870449
018110,2006,105.69908707
063049,2006,247.68638667
056059,2006,36.864297963
105018,2006,12.061083552
011015,2006,134.78018625
105010,2006,1.0445682451
054039,2006,133.13786982
013075,2006,120.87786512
012133,2006,67.9048629
104025,2006,3.275769984
015146,2006,631.39793245
016024,2006,246.76288162
103072,2006,22.657923781
014061,2006,6.3376268095
104017,2006,52.402450822
065116,2006,74.735622735
064008,2006,80.818018904
067041,2006,45.281382016
052032,2006,246.87835785
099014,2006,91.623506158
019036,2006,22.982362373
098031,2006,22.834415395
057059,2006,105.93184329
107003,2006,1.1217419993
062008,2006,39.687579375
109006,2006,29.442127985
007003,2006,44.369388874
008031,2006,24.403636142
009056,2006,81.456830309
106025,2006,0.0
055032,2006,40.877908699
106015,2006,0.0
010025,2006,252.0125372
060038,2006,10.395246706
061022,2006,44.585906971
108033,2006,42.505114911
006003,2006,41.785540894
107009,2006,3.7021062469
110001,2006,4.9514047697
005005,2006,45.570649412
058091,2006,481.45996406
001272,2006,193.20699742
IT,2006,213.85185333
001272,2007,194.17170859
003106,2007,76.590235426
057059,2007,126.14172729
110009,2007,13.639968279
110002,2007,5.8236317409
103072,2007,20.603527868
061022,2007,45.1969531
110001,2007,6.4394901224
056059,2007,38.493820252
106015,2007,0.0
009056,2007,81.438888485
010025,2007,257.03158312
032006,2007,344.1184849
087015,2007,98.024881728
104017,2007,59.151567331
015146,2007,653.18258825
031007,2007,24.681110097
065116,2007,77.550572484
029041,2007,16.265066101
052032,2007,245.61240598
086009,2007,40.848222214
085004,2007,10.523345561
033032,2007,84.437574721
034027,2007,162.97391417
101010,2007,9.8676907137
016024,2007,264.49059311
053011,2007,18.573156605
054039,2007,132.66878004
064008,2007,82.471332438
102047,2007,4.2670459596
055032,2007,41.540392029
063049,2007,241.58035509
066049,2007,69.668167878
068028,2007,73.395543085
