area_code,frequency,year,population,sex,age_group,marital_status
ITC3,A,2022,333091,1,TOTAL,1
ITC3,A,2023,338276,1,TOTAL,1
ITC3,A,2024,343004,1,TOTAL,1
ITC3,A,2025,347353,1,TOTAL,1
ITC31,A,2019,46004,1,TOTAL,1
ITC31,A,2020,46268,1,TOTAL,1
ITC31,A,2021,46536,1,TOTAL,1
ITC31,A,2022,47305,1,TOTAL,1
ITC31,A,2023,48107,1,TOTAL,1
ITC31,A,2024,48625,1,TOTAL,1
ITC31,A,2025,49189,1,TOTAL,1
ITC32,A,2019,58441,1,TOTAL,1
ITC32,A,2020,58304,1,TOTAL,1
ITC32,A,2021,58416,1,TOTAL,1
ITC32,A,2022,58402,1,TOTAL,1
ITC32,A,2023,58889,1,TOTAL,1
ITC32,A,2024,59584,1,TOTAL,1
ITC32,A,2025,60089,1,TOTAL,1
ITC33,A,2019,176471,1,TOTAL,1
ITC33,A,2020,177137,1,TOTAL,1
ITC33,A,2021,179503,1,TOTAL,1
ITC33,A,2022,179881,1,TOTAL,1
ITC33,A,2023,182896,1,TOTAL,1
ITC33,A,2024,185471,1,TOTAL,1
ITC33,A,2025,188270,1,TOTAL,1
ITC34,A,2019,46543,1,TOTAL,1
ITC34,A,2020,46877,1,TOTAL,1
ITC34,A,2021,47149,1,TOTAL,1
ITC34,A,2022,47503,1,TOTAL,1
ITC34,A,2023,48384,1,TOTAL,1
ITC34,A,2024,49324,1,TOTAL,1
ITC34,A,2025,49805,1,TOTAL,1
ITC4,A,2019,2329410,1,TOTAL,1
ITC4,A,2020,2350851,1,TOTAL,1
ITC4,A,2021,2367931,1,TOTAL,1
ITC4,A,2022,2373742,1,TOTAL,1
ITC4,A,2023,2409551,1,TOTAL,1
ITC4,A,2024,2438816,1,TOTAL,1
ITC4,A,2025,2460223,1,TOTAL,1
ITC41,A,2019,198186,1,TOTAL,1
ITC41,A,2020,199246,1,TOTAL,1
ITC41,A,2021,199600,1,TOTAL,1
ITC41,A,2022,200601,1,TOTAL,1
ITC41,A,2023,202851,1,TOTAL,1
ITC41,A,2024,204346,1,TOTAL,1
ITC41,A,2025,206664,1,TOTAL,1
ITC42,A,2019,137408,1,TOTAL,1
ITC42,A,2020,138111,1,TOTAL,1
ITC42,A,2021,139001,1,TOTAL,1
ITC42,A,2022,139403,1,TOTAL,1
ITC42,A,2023,141438,1,TOTAL,1
ITC42,A,2024,142516,1,TOTAL,1
ITC42,A,2025,143434,1,TOTAL,1
ITC43,A,2019,77657,1,TOTAL,1
ITC43,A,2020,77896,1,TOTAL,1
ITC43,A,2021,78250,1,TOTAL,1
ITC43,A,2022,78202,1,TOTAL,1
ITC43,A,2023,79043,1,TOTAL,1
ITC43,A,2024,79644,1,TOTAL,1
ITC43,A,2025,80371,1,TOTAL,1
ITC44,A,2019,42846,1,TOTAL,1
ITC44,A,2020,42945,1,TOTAL,1
ITC44,A,2021,42819,1,TOTAL,1
ITC44,A,2022,43124,1,TOTAL,1
ITC44,A,2023,43347,1,TOTAL,1
ITC44,A,2024,43644,1,TOTAL,1
ITC44,A,2025,43930,1,TOTAL,1
ITC45,A,2019,769001,1,TOTAL,1
ITC45,A,2020,781117,1,TOTAL,1
ITC45,A,2021,786939,1,TOTAL,1
ITC45,A,2022,786437,1,TOTAL,1
ITC45,A,2023,801251,1,TOTAL,1
ITC45,A,2024,815585,1,TOTAL,1
ITC45,A,2025,820423,1,TOTAL,1
ITC46,A,2019,262475,1,TOTAL,1
ITC46,A,2020,263914,1,TOTAL,1
ITC46,A,2021,266252,1,TOTAL,1
ITC46,A,2022,267195,1,TOTAL,1
ITC46,A,2023,270473,1,TOTAL,1
ITC46,A,2024,272974,1,TOTAL,1
ITC46,A,2025,275519,1,TOTAL,1
ITC47,A,2019,293215,1,TOTAL,1
ITC47,A,2020,295409,1,TOTAL,1
ITC47,A,2021,298922,1,TOTAL,1
ITC47,A,2022,300140,1,TOTAL,1
ITC47,A,2023,303772,1,TOTAL,1
ITC47,A,2024,306224,1,TOTAL,1
ITC47,A,2025,308883,1,TOTAL,1
ITC48,A,2019,123335,1,TOTAL,1
ITC48,A,2020,123684,1,TOTAL,1
ITC48,A,2021,123666,1,TOTAL,1
ITC48,A,2022,124191,1,TOTAL,1
ITC48,A,2023,126001,1,TOTAL,1
ITC48,A,2024,127978,1,TOTAL,1
ITC48,A,2025,130264,1,TOTAL,1
ITC49,A,2019,52861,1,TOTAL,1
ITC49,A,2020,53308,1,TOTAL,1
ITC49,A,2021,54068,1,TOTAL,1
ITC49,A,2022,54325,1,TOTAL,1
ITC49,A,2023,55228,1,TOTAL,1
ITC49,A,2024,55968,1,TOTAL,1
ITC49,A,2025,56728,1,TOTAL,1
ITC4A,A,2019,81991,1,TOTAL,1
ITC4A,A,2020,82393,1,TOTAL,1
ITC4A,A,2021,82492,1,TOTAL,1
ITC4A,A,2022,82844,1,TOTAL,1
ITC4A,A,2023,83894,1,TOTAL,1
ITC4A,A,2024,84730,1,TOTAL,1
ITC4A,A,2025,85863,1,TOTAL,1
ITC4B,A,2019,92735,1,TOTAL,1
ITC4B,A,2020,93127,1,TOTAL,1
ITC4B,A,2021,94112,1,TOTAL,1
ITC4B,A,2022,94318,1,TOTAL,1
ITC4B,A,2023,96171,1,TOTAL,1
ITC4B,A,2024,97110,1,TOTAL,1
ITC4B,A,2025,97970,1,TOTAL,1
ITCD,A,2019,6342007,1,TOTAL,1
ITCD,A,2020,6385729,1,TOTAL,1
ITCD,A,2021,6429483,1,TOTAL,1
ITCD,A,2022,6449901,1,TOTAL,1
ITCD,A,2023,6535316,1,TOTAL,1
ITCD,A,2024,6607867,1,TOTAL,1
ITCD,A,2025,6666276,1,TOTAL,1
ITD,A,2019,2698791,1,TOTAL,1
ITD,A,2020,2716940,1,TOTAL,1
ITD,A,2021,2738123,1,TOTAL,1
ITD,A,2022,2745558,1,TOTAL,1
ITD,A,2023,2778931,1,TOTAL,1
ITD,A,2024,2805900,1,TOTAL,1
ITD,A,2025,2828877,1,TOTAL,1
ITD1,A,2019,140734,1,TOTAL,1
ITD1,A,2020,141686,1,TOTAL,1
ITD1,A,2021,142450,1,TOTAL,1
ITD1,A,2022,142658,1,TOTAL,1
ITD1,A,2023,143442,1,TOTAL,1
ITD1,A,2024,144576,1,TOTAL,1
ITD1,A,2025,145222,1,TOTAL,1
ITD10,A,2019,140734,1,TOTAL,1
ITD10,A,2020,141686,1,TOTAL,1
ITD10,A,2021,142450,1,TOTAL,1
ITD10,A,2022,142658,1,TOTAL,1
ITD10,A,2023,143442,1,TOTAL,1
ITD10,A,2024,144576,1,TOTAL,1
ITD10,A,2025,145222,1,TOTAL,1
ITD2,A,2019,130410,1,TOTAL,1
ITD2,A,2020,131870,1,TOTAL,1
ITD2,A,2021,132457,1,TOTAL,1
ITD2,A,2022,133100,1,TOTAL,1
ITD2,A,2023,135079,1,TOTAL,1
ITD2,A,2024,136726,1,TOTAL,1
ITD2,A,2025,137821,1,TOTAL,1
ITD20,A,2019,130410,1,TOTAL,1
ITD20,A,2020,131870,1,TOTAL,1
