area_code,year,environmental_regulations_strictness
ITA,2001,25.8127411843815
ITA,2002,25.2571678268558
ITA,2003,24.6281664348107
ITA,2004,23.9733403667848
ITA,2005,23.3402929813168
ITA,2006,22.622685769712
ITA,2007,21.788257561314
ITA,2008,20.9957277217196
ITA,2009,20.4038156165254
ITA,2010,20.1712406113281
ITA,2011,21.3353676583094
ITA,2012,18.765688121919
ITA,2013,18.0540998276206
ITA,2014,16.8936828833708
ITA,2015,17.7600165229672
ITA,2016,15.7011486972657
ITA,2017,15.9660261772019
ITA,2018,16.3354361294692
ITA,2019,14.8936858575121
ITA,2020,14.6586386239905
