area_code,year,waste_recycling_rate
46017,2021,100.0
46017,2021,0.0
46017,2022,100.0
46017,2022,0.0
47014,2020,25.0
47014,2020,75.0
47014,2021,10.0
47014,2021,90.0
47014,2022,90.0
47014,2022,96.0
48017,2020,4.0
48017,2020,96.0
48017,2021,13.0
48017,2021,87.0
48017,2022,10.0
48017,2022,90.0
49009,2020,95.0
49009,2020,5.0
49009,2021,85.0
49009,2021,15.0
49009,2022,80.0
49009,2022,20.0
50026,2020,66.0
50026,2020,34.0
50026,2021,66.0
50026,2021,34.0
50026,2022,66.0
50026,2022,34.0
51002,2020,25.0
51002,2020,75.0
51002,2021,22.0
51002,2021,78.0
51002,2022,37.0
51002,2022,63.0
52032,2020,25.0
52032,2020,75.0
52032,2021,25.0
52032,2021,75.0
52032,2022,19.0
52032,2022,81.0
53011,2020,1.0
53011,2020,99.0
53011,2021,0.0
53011,2021,100.0
53011,2022,0.0
53011,2022,100.0
54039,2020,75.0
54039,2020,25.0
54039,2021,85.0
54039,2021,15.0
54039,2022,91.0
54039,2022,9.0
55032,2020,100.0
55032,2020,0.0
55032,2021,100.0
55032,2021,0.0
55032,2022,100.0
55032,2022,0.0
56059,2020,84.0
56059,2020,86.0
56059,2021,84.0
56059,2021,86.0
56059,2022,78.0
56059,2022,22.0
57059,2020,65.0
57059,2020,35.0
57059,2021,66.0
57059,2021,79.0
57059,2022,66.0
57059,2022,34.0
58091,2020,33.0
58091,2020,67.0
58091,2021,33.0
58091,2021,67.0
58091,2022,33.0
58091,2022,67.0
59011,2020,30.0
59011,2020,70.0
59011,2021,40.0
59011,2021,60.0
60038,2020,100.0
60038,2020,0.0
60038,2021,100.0
60038,2021,100.0
60038,2022,100.0
60038,2022,0.0
61022,2020,100.0
61022,2020,100.0
61022,2021,100.0
61022,2021,100.0
61022,2022,100.0
61022,2022,0.0
62008,2020,84.0
62008,2020,16.0
62008,2021,87.0
62008,2021,13.0
62008,2022,90.0
62008,2022,10.0
63049,2020,58.0
63049,2020,42.0
63049,2021,59.0
63049,2021,41.0
63049,2022,61.0
63049,2022,39.0
64008,2020,100.0
64008,2020,0.0
64008,2021,100.0
64008,2021,0.0
64008,2022,100.0
64008,2022,0.0
65116,2020,100.0
65116,2020,100.0
65116,2021,100.0
65116,2021,100.0
65116,2022,100.0
65116,2022,100.0
66049,2020,70.0
66049,2020,30.0
66049,2021,70.0
66049,2021,30.0
66049,2022,80.0
66049,2022,20.0
67041,2020,100.0
67041,2020,0.0
67041,2021,100.0
67041,2021,100.0
67041,2022,100.0
67041,2022,18.0
68028,2020,60.0
68028,2020,40.0
68028,2021,60.0
68028,2021,40.0
68028,2022,65.0
68028,2022,35.0
69022,2020,100.0
69022,2020,0.0
69022,2021,99.0
69022,2021,1.0
69022,2022,100.0
69022,2022,30.0
70006,2020,55.0
70006,2020,45.0
70006,2021,50.0
70006,2021,50.0
70006,2022,79.0
70006,2022,21.0
71024,2020,0.0
71024,2020,100.0
71024,2021,0.0
71024,2021,100.0
71024,2022,0.0
71024,2022,100.0
72006,2020,25.0
72006,2020,75.0
72006,2021,22.0
72006,2021,78.0
72006,2022,28.0
72006,2022,72.0
73027,2020,36.0
73027,2020,64.0
73027,2021,21.0
73027,2021,79.0
73027,2022,44.0
73027,2022,56.0
74001,2020,90.0
74001,2020,10.0
74001,2021,100.0
74001,2021,100.0
74001,2022,100.0
74001,2022,0.0
75035,2020,85.0
75035,2020,15.0
75035,2021,100.0
75035,2021,0.0
75035,2022,100.0
75035,2022,0.0
76063,2020,70.0
76063,2020,30.0
76063,2021,70.0
76063,2021,30.0
76063,2022,70.0
76063,2022,30.0
77014,2020,100.0
77014,2020,0.0
77014,2021,100.0
77014,2021,0.0
77014,2022,100.0
77014,2022,100.0
78045,2020,100.0
78045,2020,0.0
78045,2021,100.0
78045,2021,0.0
78045,2022,100.0
78045,2022,0.0
79023,2020,100.0
79023,2020,0.0
79023,2021,100.0
79023,2021,100.0
79023,2022,100.0
79023,2022,0.0
80063,2020,90.0
80063,2020,10.0
80063,2021,95.0
80063,2021,5.0
80063,2022,90.0
80063,2022,10.0
81021,2020,100.0
81021,2020,0.0
81021,2021,100.0
81021,2021,0.0
81021,2022,100.0
81021,2022,0.0
82053,2020,33.0
82053,2020,67.0
82053,2021,33.0
82053,2021,67.0
82053,2022,33.0
82053,2022,67.0
83048,2020,30.0
83048,2020,70.0
83048,2021,100.0
83048,2021,0.0
83048,2022,100.0
83048,2022,0.0
84001,2021,100.0
84001,2021,0.0
84001,2022,80.0
84001,2022,20.0
85004,2020,100.0
85004,2020,0.0
85004,2021,100.0
85004,2021,0.0
85004,2022,100.0
85004,2022,0.0
86009,2020,90.0
86009,2020,10.0
86009,2021,95.0
86009,2021,5.0
86009,2022,85.0
86009,2022,15.0
87015,2020,17.0
87015,2020,83.0
87015,2021,47.0
87015,2021,53.0
87015,2022,85.0
87015,2022,15.0
88009,2020,100.0
88009,2020,0.0
88009,2021,100.0
88009,2021,0.0
88009,2022,100.0
88009,2022,0.0
89017,2020,85.0
89017,2020,15.0
89017,2021,100.0
89017,2021,0.0
89017,2022,100.0
89017,2022,0.0
90064,2020,36.0
90064,2020,64.0
90064,2021,42.0
90064,2021,58.0
90064,2022,46.0
90064,2022,54.0
91051,2020,100.0
91051,2020,0.0
91051,2021,100.0
91051,2021,0.0
91051,2022,100.0
91051,2022,0.0
92009,2020,99.0
92009,2020,1.0
92009,2021,99.0
92009,2021,1.0
92009,2022,100.0
92009,2022,5.0
93033,2020,100.0
93033,2020,100.0
93033,2021,100.0
93033,2021,100.0
93033,2022,100.0
93033,2022,100.0
94023,2020,80.0
94023,2020,20.0
94023,2021,87.0
94023,2021,13.0
94023,2022,100.0
94023,2022,90.0
95038,2020,100.0
95038,2020,0.0
95038,2021,100.0
95038,2021,0.0
95038,2022,100.0
95038,2022,0.0
96004,2020,100.0
96004,2020,100.0
96004,2021,100.0
96004,2021,100.0
96004,2022,100.0
96004,2022,100.0
97042,2020,100.0
97042,2020,0.0
97042,2021,100.0
