area_code,year,healthcare_worker_density
IT,2019,0.6
IT,2019,8.8
IT,2019,1.7
IT,2019,0.72
IT,2019,2.89
IT,2019,7.1
IT,2019,1.12
IT,2019,61.56
IT,2019,0.78
IT,2019,1.52
IT,2019,18.32
IT,2019,0.76
IT,2019,2.85
IT,2019,1.24
IT,2019,1.61
IT,2019,12.56
IT,2019,31.71
IT,2019,1.47
IT,2019,40.51
IT,2019,0.68
IT,2020,12226.0
IT,2020,13706.0
IT,2020,51678.0
IT,2020,3543.0
IT,2020,50354.0
IT,2020,8647.0
IT,2020,4178.0
IT,2020,17239.0
IT,2020,41707.0
IT,2020,6658.0
IT,2020,373064.0
IT,2020,4633.0
IT,2020,9277.0
IT,2020,109497.0
IT,2020,4336.0
IT,2020,16569.0
IT,2020,7285.0
IT,2020,9284.0
IT,2020,73833.0
IT,2020,187490.0
IT,2020,8098.0
IT,2020,237844.0
IT,2020,4053.0
IT,2020,2.06
IT,2020,2.31
IT,2020,8.69
IT,2020,0.6
IT,2020,8.47
IT,2020,1.45
IT,2020,0.7
IT,2020,2.9
IT,2020,7.02
IT,2020,1.12
IT,2020,62.76
IT,2020,0.78
IT,2020,1.56
IT,2020,18.42
IT,2020,0.73
IT,2020,2.79
IT,2020,1.23
IT,2020,1.56
IT,2020,12.42
IT,2020,31.54
IT,2020,1.36
IT,2020,40.01
IT,2020,0.68
IT,2021,12819.0
IT,2021,14319.0
IT,2021,49721.0
IT,2021,3529.0
IT,2021,48579.0
IT,2021,8329.0
IT,2021,4393.0
IT,2021,16907.0
IT,2021,40250.0
IT,2021,6931.0
IT,2021,367378.0
IT,2021,4793.0
IT,2021,9476.0
IT,2021,113807.0
IT,2021,4549.0
IT,2021,16171.0
IT,2021,7022.0
IT,2021,9149.0
IT,2021,75910.0
IT,2021,194142.0
IT,2021,8330.0
IT,2021,242721.0
IT,2021,4174.0
IT,2021,2.17
IT,2021,2.42
IT,2021,8.41
IT,2021,0.6
IT,2021,8.22
IT,2021,1.41
IT,2021,0.74
IT,2021,2.86
IT,2021,6.81
IT,2021,1.17
IT,2021,62.13
IT,2021,0.81
IT,2021,1.6
IT,2021,19.25
IT,2021,0.77
IT,2021,2.73
IT,2021,1.19
IT,2021,1.55
IT,2021,12.84
IT,2021,32.83
IT,2021,1.41
IT,2021,41.05
IT,2021,0.71
IT,2022,13187.0
IT,2022,14888.0
IT,2022,52559.0
IT,2022,3771.0
IT,2022,47253.0
IT,2022,7887.0
IT,2022,4654.0
IT,2022,17863.0
IT,2022,39366.0
IT,2022,7242.0
IT,2022,384882.0
IT,2022,5050.0
IT,2022,9966.0
IT,2022,119023.0
IT,2022,4719.0
IT,2022,16242.0
IT,2022,6962.0
IT,2022,9280.0
IT,2022,80018.0
IT,2022,202616.0
IT,2022,8605.0
IT,2022,249869.0
IT,2022,4549.0
IT,2022,2.23
IT,2022,2.52
IT,2022,8.91
IT,2022,0.64
IT,2022,8.01
IT,2022,1.34
IT,2022,0.79
IT,2022,3.03
IT,2022,6.67
IT,2022,1.23
IT,2022,65.22
IT,2022,0.86
IT,2022,1.69
IT,2022,20.17
IT,2022,0.8
IT,2022,2.75
IT,2022,1.18
IT,2022,1.57
IT,2022,13.56
IT,2022,34.33
IT,2022,1.46
IT,2022,42.34
IT,2022,0.77
ITC,2013,3022.0
ITC,2013,3203.0
ITC,2013,13227.0
ITC,2013,831.0
ITC,2013,12508.0
ITC,2013,1474.0
ITC,2013,1257.0
ITC,2013,3881.0
ITC,2013,11034.0
ITC,2013,1832.0
ITC,2013,83501.0
ITC,2013,1271.0
ITC,2013,2470.0
ITC,2013,27764.0
ITC,2013,1069.0
ITC,2013,4206.0
ITC,2013,1810.0
ITC,2013,2396.0
ITC,2013,18223.0
ITC,2013,46074.0
ITC,2013,2359.0
ITC,2013,58582.0
ITC,2013,996.0
ITC,2013,1.88
ITC,2013,2.0
ITC,2013,8.25
ITC,2013,0.52
ITC,2013,7.8
ITC,2013,0.92
ITC,2013,0.78
ITC,2013,2.42
ITC,2013,6.88
ITC,2013,1.14
ITC,2013,52.06
ITC,2013,0.79
ITC,2013,1.54
ITC,2013,17.31
ITC,2013,0.67
ITC,2013,2.62
ITC,2013,1.13
ITC,2013,1.49
ITC,2013,11.36
ITC,2013,28.73
ITC,2013,1.47
ITC,2013,36.52
ITC,2013,0.62
ITC,2014,3117.0
